Time[s], Channel 0
0.0000000, 1
0.0127956, 0
0.0127994, 1
0.0128006, 0
0.0128019, 1
0.0128055, 0
0.0128093, 1
0.0128105, 0
0.0128142, 1
0.0128154, 0
0.0128192, 1
0.0128203, 0
0.0128241, 1
0.0128253, 0
0.0128290, 1
0.0128302, 0
0.0128340, 1
0.0128352, 0
0.0128389, 1
0.0128401, 0
0.0128439, 1
0.0128450, 0
0.0128488, 1
0.0128500, 0
0.0128537, 1
0.0128549, 0
0.0128587, 1
0.0128598, 0
0.0128636, 1
0.0128648, 0
0.0128661, 1
0.0128697, 0
0.0128710, 1
0.0128747, 0
0.0128784, 1
0.0128796, 0
0.0128834, 1
0.0128845, 0
0.0128883, 1
0.0128895, 0
0.0128932, 1
0.0128944, 0
0.0128982, 1
0.0128994, 0
0.0129031, 1
0.0129043, 0
0.0129081, 1
0.0129092, 0
0.0129130, 1
0.0129142, 0
0.0129155, 1
0.0129178, 0
0.0129209, 1
0.0129218, 0
0.0129249, 1
0.0129258, 0
0.0129289, 1
0.0129298, 0
0.0129329, 1
0.0129338, 0
0.0129349, 1
0.0129378, 0
0.0129388, 1
0.0129417, 0
0.0129428, 1
0.0129457, 0
0.0129468, 1
0.0129497, 0
0.0129528, 1
0.0129537, 0
0.0129568, 1
0.0129577, 0
0.0129608, 1
0.0129617, 0
0.0129648, 1
0.0129657, 0
0.0129688, 1
0.0129697, 0
0.0129728, 1
0.0129736, 0
0.0129768, 1
0.0129776, 0
0.0129808, 1
0.0129816, 0
0.0129847, 1
0.0129856, 0
0.0129887, 1
0.0129896, 0
0.0129927, 1
0.0129936, 0
0.0129967, 1
0.0129976, 0
0.0130007, 1
0.0130016, 0
0.0130047, 1
0.0130055, 0
0.0130087, 1
0.0130095, 0
0.0130127, 1
0.0130135, 0
0.0130166, 1
0.0130175, 0
0.0130206, 1
0.0130215, 0
0.0130246, 1
0.0130255, 0
0.0130286, 1
0.0130295, 0
0.0130326, 1
0.0130335, 0
0.0130366, 1
0.0130374, 0
0.0130406, 1
0.0130414, 0
0.0130446, 1
0.0130454, 0
0.0130485, 1
0.0130494, 0
0.0130525, 1
0.0130534, 0
0.0130565, 1
0.0130574, 0
0.0130605, 1
0.0130614, 0
0.0130645, 1
0.0130654, 0
0.0130685, 1
0.0130693, 0
0.0130725, 1
0.0130733, 0
0.0130765, 1
0.0130773, 0
0.0130804, 1
0.0130813, 0
0.0130844, 1
0.0130853, 0
0.0130884, 1
0.0130893, 0
0.0130924, 1
0.0130933, 0
0.0130964, 1
0.0130972, 0
0.0131004, 1
0.0131012, 0
0.0131044, 1
0.0131052, 0
0.0131083, 1
0.0131092, 0
0.0131123, 1
0.0131132, 0
0.0131163, 1
0.0131172, 0
0.0131203, 1
0.0131212, 0
0.0131243, 1
0.0131252, 0
0.0131283, 1
0.0131291, 0
0.0131323, 1
0.0131331, 0
0.0131363, 1
0.0131371, 0
0.0131402, 1
0.0131411, 0
0.0131442, 1
0.0131451, 0
0.0131482, 1
0.0131491, 0
0.0131522, 1
0.0131531, 0
0.0131562, 1
0.0131571, 0
0.0131582, 1
0.0131610, 0
0.0131642, 1
0.0131650, 0
0.0131661, 1
0.0131690, 0
0.0131721, 1
0.0131730, 0
0.0131751, 1
0.0138766, 0
0.0138804, 1
0.0138816, 0
0.0138828, 1
0.0138865, 0
0.0138902, 1
0.0138914, 0
0.0138952, 1
0.0138964, 0
0.0139001, 1
0.0139013, 0
0.0139051, 1
0.0139062, 0
0.0139100, 1
0.0139112, 0
0.0139149, 1
0.0139161, 0
0.0139199, 1
0.0139211, 0
0.0139248, 1
0.0139260, 0
0.0139298, 1
0.0139309, 0
0.0139347, 1
0.0139359, 0
0.0139396, 1
0.0139408, 0
0.0139446, 1
0.0139458, 0
0.0139470, 1
0.0139507, 0
0.0139520, 1
0.0139556, 0
0.0139594, 1
0.0139606, 0
0.0139643, 1
0.0139655, 0
0.0139693, 1
0.0139704, 0
0.0139742, 1
0.0139754, 0
0.0139791, 1
0.0139803, 0
0.0139841, 1
0.0139853, 0
0.0139890, 1
0.0139902, 0
0.0139940, 1
0.0139951, 0
0.0139964, 1
0.0139989, 0
0.0140020, 1
0.0140029, 0
0.0140060, 1
0.0140069, 0
0.0140100, 1
0.0140108, 0
0.0140140, 1
0.0140148, 0
0.0140159, 1
0.0140188, 0
0.0140199, 1
0.0140228, 0
0.0140239, 1
0.0140268, 0
0.0140279, 1
0.0140308, 0
0.0140339, 1
0.0140348, 0
0.0140379, 1
0.0140387, 0
0.0140419, 1
0.0140427, 0
0.0140459, 1
0.0140467, 0
0.0140498, 1
0.0140507, 0
0.0140538, 1
0.0140547, 0
0.0140578, 1
0.0140587, 0
0.0140618, 1
0.0140627, 0
0.0140658, 1
0.0140667, 0
0.0140698, 1
0.0140706, 0
0.0140738, 1
0.0140746, 0
0.0140778, 1
0.0140786, 0
0.0140817, 1
0.0140826, 0
0.0140857, 1
0.0140866, 0
0.0140897, 1
0.0140906, 0
0.0140937, 1
0.0140946, 0
0.0140977, 1
0.0140986, 0
0.0141017, 1
0.0141025, 0
0.0141057, 1
0.0141065, 0
0.0141097, 1
0.0141105, 0
0.0141136, 1
0.0141145, 0
0.0141176, 1
0.0141185, 0
0.0141216, 1
0.0141225, 0
0.0141256, 1
0.0141265, 0
0.0141296, 1
0.0141305, 0
0.0141336, 1
0.0141344, 0
0.0141376, 1
0.0141384, 0
0.0141416, 1
0.0141424, 0
0.0141455, 1
0.0141464, 0
0.0141495, 1
0.0141504, 0
0.0141535, 1
0.0141544, 0
0.0141575, 1
0.0141584, 0
0.0141615, 1
0.0141624, 0
0.0141655, 1
0.0141663, 0
0.0141695, 1
0.0141703, 0
0.0141735, 1
0.0141743, 0
0.0141774, 1
0.0141783, 0
0.0141814, 1
0.0141823, 0
0.0141854, 1
0.0141863, 0
0.0141894, 1
0.0141903, 0
0.0141934, 1
0.0141943, 0
0.0141974, 1
0.0141982, 0
0.0142014, 1
0.0142022, 0
0.0142054, 1
0.0142062, 0
0.0142093, 1
0.0142102, 0
0.0142133, 1
0.0142142, 0
0.0142173, 1
0.0142182, 0
0.0142213, 1
0.0142222, 0
0.0142253, 1
0.0142262, 0
0.0142293, 1
0.0142301, 0
0.0142333, 1
0.0142341, 0
0.0142373, 1
0.0142381, 0
0.0142392, 1
0.0142421, 0
0.0142452, 1
0.0142461, 0
0.0142472, 1
0.0142501, 0
0.0142532, 1
0.0142541, 0
0.0142562, 1
0.0295127, 0
0.0295165, 1
0.0295177, 0
0.0295189, 1
0.0295226, 0
0.0295264, 1
0.0295275, 0
0.0295313, 1
0.0295325, 0
0.0295362, 1
0.0295374, 0
0.0295412, 1
0.0295424, 0
0.0295461, 1
0.0295473, 0
0.0295511, 1
0.0295522, 0
0.0295560, 1
0.0295572, 0
0.0295609, 1
0.0295621, 0
0.0295659, 1
0.0295671, 0
0.0295708, 1
0.0295720, 0
0.0295757, 1
0.0295769, 0
0.0295807, 1
0.0295819, 0
0.0295831, 1
0.0295868, 0
0.0295881, 1
0.0295917, 0
0.0295955, 1
0.0295967, 0
0.0296004, 1
0.0296016, 0
0.0296054, 1
0.0296066, 0
0.0296103, 1
0.0296115, 0
0.0296153, 1
0.0296164, 0
0.0296202, 1
0.0296214, 0
0.0296251, 1
0.0296263, 0
0.0296301, 1
0.0296313, 0
0.0296325, 1
0.0296351, 0
0.0296382, 1
0.0296390, 0
0.0296422, 1
0.0296430, 0
0.0296461, 1
0.0296470, 0
0.0296501, 1
0.0296510, 0
0.0296521, 1
0.0296550, 0
0.0296561, 1
0.0296590, 0
0.0296601, 1
0.0296630, 0
0.0296641, 1
0.0296669, 0
0.0296701, 1
0.0296709, 0
0.0296741, 1
0.0296749, 0
0.0296780, 1
0.0296789, 0
0.0296820, 1
0.0296829, 0
0.0296860, 1
0.0296869, 0
0.0296900, 1
0.0296909, 0
0.0296940, 1
0.0296949, 0
0.0296980, 1
0.0296988, 0
0.0297020, 1
0.0297028, 0
0.0297060, 1
0.0297068, 0
0.0297099, 1
0.0297108, 0
0.0297139, 1
0.0297148, 0
0.0297179, 1
0.0297188, 0
0.0297219, 1
0.0297228, 0
0.0297259, 1
0.0297268, 0
0.0297299, 1
0.0297307, 0
0.0297339, 1
0.0297347, 0
0.0297379, 1
0.0297387, 0
0.0297418, 1
0.0297427, 0
0.0297458, 1
0.0297467, 0
0.0297498, 1
0.0297507, 0
0.0297538, 1
0.0297547, 0
0.0297578, 1
0.0297587, 0
0.0297618, 1
0.0297626, 0
0.0297658, 1
0.0297666, 0
0.0297698, 1
0.0297706, 0
0.0297737, 1
0.0297746, 0
0.0297777, 1
0.0297786, 0
0.0297817, 1
0.0297826, 0
0.0297857, 1
0.0297866, 0
0.0297897, 1
0.0297906, 0
0.0297937, 1
0.0297945, 0
0.0297977, 1
0.0297985, 0
0.0298017, 1
0.0298025, 0
0.0298056, 1
0.0298065, 0
0.0298096, 1
0.0298105, 0
0.0298136, 1
0.0298145, 0
0.0298176, 1
0.0298185, 0
0.0298216, 1
0.0298225, 0
0.0298256, 1
0.0298264, 0
0.0298296, 1
0.0298304, 0
0.0298335, 1
0.0298344, 0
0.0298375, 1
0.0298384, 0
0.0298415, 1
0.0298424, 0
0.0298455, 1
0.0298464, 0
0.0298495, 1
0.0298504, 0
0.0298535, 1
0.0298543, 0
0.0298575, 1
0.0298583, 0
0.0298615, 1
0.0298623, 0
0.0298654, 1
0.0298663, 0
0.0298694, 1
0.0298703, 0
0.0298734, 1
0.0298743, 0
0.0298754, 1
0.0298783, 0
0.0298814, 1
0.0298823, 0
0.0298834, 1
0.0298862, 0
0.0298894, 1
0.0298902, 0
0.0298924, 1
0.0305616, 0
0.0305654, 1
0.0305665, 0
0.0305678, 1
0.0305715, 0
0.0305752, 1
0.0305764, 0
0.0305802, 1
0.0305813, 0
0.0305851, 1
0.0305863, 0
0.0305900, 1
0.0305912, 0
0.0305950, 1
0.0305962, 0
0.0305999, 1
0.0306011, 0
0.0306049, 1
0.0306060, 0
0.0306098, 1
0.0306110, 0
0.0306147, 1
0.0306159, 0
0.0306197, 1
0.0306209, 0
0.0306246, 1
0.0306258, 0
0.0306296, 1
0.0306307, 0
0.0306320, 1
0.0306357, 0
0.0306370, 1
0.0306406, 0
0.0306444, 1
0.0306456, 0
0.0306493, 1
0.0306505, 0
0.0306543, 1
0.0306554, 0
0.0306592, 1
0.0306604, 0
0.0306641, 1
0.0306653, 0
0.0306691, 1
0.0306702, 0
0.0306740, 1
0.0306752, 0
0.0306789, 1
0.0306801, 0
0.0306814, 1
0.0306837, 0
0.0306868, 1
0.0306877, 0
0.0306908, 1
0.0306917, 0
0.0306948, 1
0.0306957, 0
0.0306988, 1
0.0306997, 0
0.0307008, 1
0.0307036, 0
0.0307047, 1
0.0307076, 0
0.0307087, 1
0.0307116, 0
0.0307127, 1
0.0307156, 0
0.0307187, 1
0.0307196, 0
0.0307227, 1
0.0307236, 0
0.0307267, 1
0.0307276, 0
0.0307307, 1
0.0307316, 0
0.0307347, 1
0.0307355, 0
0.0307387, 1
0.0307395, 0
0.0307427, 1
0.0307435, 0
0.0307466, 1
0.0307475, 0
0.0307506, 1
0.0307515, 0
0.0307546, 1
0.0307555, 0
0.0307586, 1
0.0307595, 0
0.0307626, 1
0.0307635, 0
0.0307666, 1
0.0307674, 0
0.0307706, 1
0.0307714, 0
0.0307746, 1
0.0307754, 0
0.0307785, 1
0.0307794, 0
0.0307825, 1
0.0307834, 0
0.0307865, 1
0.0307874, 0
0.0307905, 1
0.0307914, 0
0.0307945, 1
0.0307954, 0
0.0307985, 1
0.0307993, 0
0.0308025, 1
0.0308033, 0
0.0308065, 1
0.0308073, 0
0.0308104, 1
0.0308113, 0
0.0308144, 1
0.0308153, 0
0.0308184, 1
0.0308193, 0
0.0308224, 1
0.0308233, 0
0.0308264, 1
0.0308272, 0
0.0308304, 1
0.0308312, 0
0.0308344, 1
0.0308352, 0
0.0308383, 1
0.0308392, 0
0.0308423, 1
0.0308432, 0
0.0308463, 1
0.0308472, 0
0.0308503, 1
0.0308512, 0
0.0308543, 1
0.0308552, 0
0.0308583, 1
0.0308591, 0
0.0308623, 1
0.0308631, 0
0.0308663, 1
0.0308671, 0
0.0308702, 1
0.0308711, 0
0.0308742, 1
0.0308751, 0
0.0308782, 1
0.0308791, 0
0.0308822, 1
0.0308831, 0
0.0308862, 1
0.0308871, 0
0.0308902, 1
0.0308910, 0
0.0308942, 1
0.0308950, 0
0.0308982, 1
0.0308990, 0
0.0309021, 1
0.0309030, 0
0.0309061, 1
0.0309070, 0
0.0309101, 1
0.0309110, 0
0.0309141, 1
0.0309150, 0
0.0309181, 1
0.0309190, 0
0.0309221, 1
0.0309229, 0
0.0309240, 1
0.0309269, 0
0.0309301, 1
0.0309309, 0
0.0309320, 1
0.0309349, 0
0.0309380, 1
0.0309389, 0
0.0309410, 1
0.0461656, 0
0.0461694, 1
0.0461705, 0
0.0461718, 1
0.0461755, 0
0.0461792, 1
0.0461804, 0
0.0461842, 1
0.0461854, 0
0.0461891, 1
0.0461903, 0
0.0461941, 1
0.0461952, 0
0.0461990, 1
0.0462002, 0
0.0462039, 1
0.0462051, 0
0.0462089, 1
0.0462101, 0
0.0462138, 1
0.0462150, 0
0.0462188, 1
0.0462199, 0
0.0462237, 1
0.0462249, 0
0.0462286, 1
0.0462298, 0
0.0462336, 1
0.0462347, 0
0.0462360, 1
0.0462397, 0
0.0462410, 1
0.0462446, 0
0.0462484, 1
0.0462496, 0
0.0462533, 1
0.0462545, 0
0.0462583, 1
0.0462594, 0
0.0462632, 1
0.0462644, 0
0.0462681, 1
0.0462693, 0
0.0462731, 1
0.0462743, 0
0.0462780, 1
0.0462792, 0
0.0462830, 1
0.0462841, 0
0.0462854, 1
0.0462880, 0
0.0462911, 1
0.0462920, 0
0.0462951, 1
0.0462960, 0
0.0462991, 1
0.0462999, 0
0.0463031, 1
0.0463039, 0
0.0463050, 1
0.0463079, 0
0.0463090, 1
0.0463119, 0
0.0463130, 1
0.0463159, 0
0.0463170, 1
0.0463199, 0
0.0463230, 1
0.0463239, 0
0.0463270, 1
0.0463279, 0
0.0463310, 1
0.0463318, 0
0.0463350, 1
0.0463358, 0
0.0463390, 1
0.0463398, 0
0.0463429, 1
0.0463438, 0
0.0463469, 1
0.0463478, 0
0.0463509, 1
0.0463518, 0
0.0463549, 1
0.0463558, 0
0.0463589, 1
0.0463598, 0
0.0463629, 1
0.0463637, 0
0.0463669, 1
0.0463677, 0
0.0463708, 1
0.0463717, 0
0.0463748, 1
0.0463757, 0
0.0463788, 1
0.0463797, 0
0.0463828, 1
0.0463837, 0
0.0463868, 1
0.0463877, 0
0.0463908, 1
0.0463916, 0
0.0463948, 1
0.0463956, 0
0.0463988, 1
0.0463996, 0
0.0464027, 1
0.0464036, 0
0.0464067, 1
0.0464076, 0
0.0464107, 1
0.0464116, 0
0.0464147, 1
0.0464156, 0
0.0464187, 1
0.0464196, 0
0.0464227, 1
0.0464235, 0
0.0464267, 1
0.0464275, 0
0.0464307, 1
0.0464315, 0
0.0464346, 1
0.0464355, 0
0.0464386, 1
0.0464395, 0
0.0464426, 1
0.0464435, 0
0.0464466, 1
0.0464475, 0
0.0464506, 1
0.0464515, 0
0.0464546, 1
0.0464554, 0
0.0464586, 1
0.0464594, 0
