Time[s], Channel 0
0.0000000, 1
0.0145403, 0
0.0145440, 1
0.0145452, 0
0.0145465, 1
0.0145502, 0
0.0145539, 1
0.0145551, 0
0.0145589, 1
0.0145600, 0
0.0145638, 1
0.0145650, 0
0.0145687, 1
0.0145699, 0
0.0145737, 1
0.0145749, 0
0.0145786, 1
0.0145798, 0
0.0145836, 1
0.0145847, 0
0.0145885, 1
0.0145897, 0
0.0145934, 1
0.0145946, 0
0.0145984, 1
0.0145996, 0
0.0146033, 1
0.0146045, 0
0.0146082, 1
0.0146094, 0
0.0146107, 1
0.0146144, 0
0.0146156, 1
0.0146193, 0
0.0146231, 1
0.0146242, 0
0.0146280, 1
0.0146292, 0
0.0146329, 1
0.0146341, 0
0.0146379, 1
0.0146391, 0
0.0146428, 1
0.0146440, 0
0.0146478, 1
0.0146489, 0
0.0146527, 1
0.0146539, 0
0.0146576, 1
0.0146588, 0
0.0146601, 1
0.0146625, 0
0.0146656, 1
0.0146664, 0
0.0146696, 1
0.0146704, 0
0.0146736, 1
0.0146744, 0
0.0146775, 1
0.0146784, 0
0.0146815, 1
0.0146824, 0
0.0146855, 1
0.0146864, 0
0.0146875, 1
0.0146904, 0
0.0146935, 1
0.0146944, 0
0.0146975, 1
0.0146983, 0
0.0147015, 1
0.0147023, 0
0.0147055, 1
0.0147063, 0
0.0147094, 1
0.0147103, 0
0.0147134, 1
0.0147143, 0
0.0147174, 1
0.0147183, 0
0.0147214, 1
0.0147223, 0
0.0147254, 1
0.0147263, 0
0.0147294, 1
0.0147302, 0
0.0147334, 1
0.0147342, 0
0.0147374, 1
0.0147382, 0
0.0147413, 1
0.0147422, 0
0.0147453, 1
0.0147462, 0
0.0147493, 1
0.0147502, 0
0.0147533, 1
0.0147542, 0
0.0147573, 1
0.0147582, 0
0.0147613, 1
0.0147621, 0
0.0147653, 1
0.0147661, 0
0.0147693, 1
0.0147701, 0
0.0147732, 1
0.0147741, 0
0.0147772, 1
0.0147781, 0
0.0147812, 1
0.0147821, 0
0.0147852, 1
0.0147861, 0
0.0147892, 1
0.0147901, 0
0.0147932, 1
0.0147940, 0
0.0147972, 1
0.0147980, 0
0.0148012, 1
0.0148020, 0
0.0148051, 1
0.0148060, 0
0.0148091, 1
0.0148100, 0
0.0148131, 1
0.0148140, 0
0.0148171, 1
0.0148180, 0
0.0148211, 1
0.0148220, 0
0.0148251, 1
0.0148259, 0
0.0148291, 1
0.0148299, 0
0.0148330, 1
0.0148339, 0
0.0148370, 1
0.0148379, 0
0.0148410, 1
0.0148419, 0
0.0148450, 1
0.0148459, 0
0.0148490, 1
0.0148499, 0
0.0148530, 1
0.0148538, 0
0.0148570, 1
0.0148578, 0
0.0148610, 1
0.0148618, 0
0.0148649, 1
0.0148658, 0
0.0148689, 1
0.0148698, 0
0.0148729, 1
0.0148738, 0
0.0148769, 1
0.0148778, 0
0.0148809, 1
0.0148818, 0
0.0148849, 1
0.0148857, 0
0.0148889, 1
0.0148897, 0
0.0148929, 1
0.0148937, 0
0.0148968, 1
0.0148977, 0
0.0149008, 1
0.0149017, 0
0.0149028, 1
0.0149057, 0
0.0149088, 1
0.0149097, 0
0.0149108, 1
0.0149137, 0
0.0149168, 1
0.0149176, 0
0.0149198, 1
0.0156213, 0
0.0156250, 1
0.0156262, 0
0.0156275, 1
0.0156311, 0
0.0156349, 1
0.0156361, 0
0.0156398, 1
0.0156410, 0
0.0156448, 1
0.0156459, 0
0.0156497, 1
0.0156509, 0
0.0156547, 1
0.0156558, 0
0.0156596, 1
0.0156608, 0
0.0156645, 1
0.0156657, 0
0.0156695, 1
0.0156706, 0
0.0156744, 1
0.0156756, 0
0.0156793, 1
0.0156805, 0
0.0156843, 1
0.0156855, 0
0.0156892, 1
0.0156904, 0
0.0156917, 1
0.0156953, 0
0.0156966, 1
0.0157003, 0
0.0157040, 1
0.0157052, 0
0.0157090, 1
0.0157102, 0
0.0157139, 1
0.0157151, 0
0.0157189, 1
0.0157200, 0
0.0157238, 1
0.0157250, 0
0.0157287, 1
0.0157299, 0
0.0157337, 1
0.0157348, 0
0.0157386, 1
0.0157398, 0
0.0157411, 1
0.0157435, 0
0.0157466, 1
0.0157475, 0
0.0157506, 1
0.0157515, 0
0.0157546, 1
0.0157555, 0
0.0157586, 1
0.0157595, 0
0.0157626, 1
0.0157634, 0
0.0157666, 1
0.0157674, 0
0.0157685, 1
0.0157714, 0
0.0157745, 1
0.0157754, 0
0.0157785, 1
0.0157794, 0
0.0157825, 1
0.0157834, 0
0.0157865, 1
0.0157874, 0
0.0157905, 1
0.0157914, 0
0.0157945, 1
0.0157953, 0
0.0157985, 1
0.0157993, 0
0.0158025, 1
0.0158033, 0
0.0158064, 1
0.0158073, 0
0.0158104, 1
0.0158113, 0
0.0158144, 1
0.0158153, 0
0.0158184, 1
0.0158193, 0
0.0158224, 1
0.0158233, 0
0.0158264, 1
0.0158272, 0
0.0158304, 1
0.0158312, 0
0.0158344, 1
0.0158352, 0
0.0158383, 1
0.0158392, 0
0.0158423, 1
0.0158432, 0
0.0158463, 1
0.0158472, 0
0.0158503, 1
0.0158512, 0
0.0158543, 1
0.0158552, 0
0.0158583, 1
0.0158591, 0
0.0158623, 1
0.0158631, 0
0.0158663, 1
0.0158671, 0
0.0158702, 1
0.0158711, 0
0.0158742, 1
0.0158751, 0
0.0158782, 1
0.0158791, 0
0.0158822, 1
0.0158831, 0
0.0158862, 1
0.0158871, 0
0.0158902, 1
0.0158910, 0
0.0158942, 1
0.0158950, 0
0.0158982, 1
0.0158990, 0
0.0159021, 1
0.0159030, 0
0.0159061, 1
0.0159070, 0
0.0159101, 1
0.0159110, 0
0.0159141, 1
0.0159150, 0
0.0159181, 1
0.0159190, 0
0.0159221, 1
0.0159229, 0
0.0159261, 1
0.0159269, 0
0.0159301, 1
0.0159309, 0
0.0159340, 1
0.0159349, 0
0.0159380, 1
0.0159389, 0
0.0159420, 1
0.0159429, 0
0.0159460, 1
0.0159469, 0
0.0159500, 1
0.0159509, 0
0.0159540, 1
0.0159548, 0
0.0159580, 1
0.0159588, 0
0.0159620, 1
0.0159628, 0
0.0159659, 1
0.0159668, 0
0.0159699, 1
0.0159708, 0
0.0159739, 1
0.0159748, 0
0.0159779, 1
0.0159788, 0
0.0159819, 1
0.0159828, 0
0.0159838, 1
0.0159867, 0
0.0159899, 1
0.0159907, 0
0.0159918, 1
0.0159947, 0
0.0159958, 1
0.0159987, 0
0.0160008, 1
0.0312574, 0
0.0312611, 1
0.0312623, 0
0.0312636, 1
0.0312672, 0
0.0312710, 1
0.0312722, 0
0.0312759, 1
0.0312771, 0
0.0312809, 1
0.0312821, 0
0.0312858, 1
0.0312870, 0
0.0312908, 1
0.0312919, 0
0.0312957, 1
0.0312969, 0
0.0313006, 1
0.0313018, 0
0.0313056, 1
0.0313068, 0
0.0313105, 1
0.0313117, 0
0.0313155, 1
0.0313166, 0
0.0313204, 1
0.0313216, 0
0.0313253, 1
0.0313265, 0
0.0313278, 1
0.0313315, 0
0.0313327, 1
0.0313364, 0
0.0313401, 1
0.0313413, 0
0.0313451, 1
0.0313463, 0
0.0313500, 1
0.0313512, 0
0.0313550, 1
0.0313561, 0
0.0313599, 1
0.0313611, 0
0.0313648, 1
0.0313660, 0
0.0313698, 1
0.0313710, 0
0.0313747, 1
0.0313759, 0
0.0313772, 1
0.0313797, 0
0.0313828, 1
0.0313836, 0
0.0313868, 1
0.0313876, 0
0.0313907, 1
0.0313916, 0
0.0313947, 1
0.0313956, 0
0.0313987, 1
0.0313996, 0
0.0314027, 1
0.0314036, 0
0.0314047, 1
0.0314076, 0
0.0314107, 1
0.0314115, 0
0.0314147, 1
0.0314155, 0
0.0314187, 1
0.0314195, 0
0.0314226, 1
0.0314235, 0
0.0314266, 1
0.0314275, 0
0.0314306, 1
0.0314315, 0
0.0314346, 1
0.0314355, 0
0.0314386, 1
0.0314395, 0
0.0314426, 1
0.0314434, 0
0.0314466, 1
0.0314474, 0
0.0314506, 1
0.0314514, 0
0.0314545, 1
0.0314554, 0
0.0314585, 1
0.0314594, 0
0.0314625, 1
0.0314634, 0
0.0314665, 1
0.0314674, 0
0.0314705, 1
0.0314714, 0
0.0314745, 1
0.0314753, 0
0.0314785, 1
0.0314793, 0
0.0314825, 1
0.0314833, 0
0.0314864, 1
0.0314873, 0
0.0314904, 1
0.0314913, 0
0.0314944, 1
0.0314953, 0
0.0314984, 1
0.0314993, 0
0.0315024, 1
0.0315033, 0
