Time[s], Channel 0
0.0000000, 1
0.0049083, 0
0.0049121, 1
0.0049133, 0
0.0049145, 1
0.0049182, 0
0.0049220, 1
0.0049231, 0
0.0049269, 1
0.0049281, 0
0.0049318, 1
0.0049330, 0
0.0049368, 1
0.0049380, 0
0.0049417, 1
0.0049429, 0
0.0049467, 1
0.0049478, 0
0.0049516, 1
0.0049528, 0
0.0049565, 1
0.0049577, 0
0.0049615, 1
0.0049626, 0
0.0049664, 1
0.0049676, 0
0.0049713, 1
0.0049725, 0
0.0049763, 1
0.0049775, 0
0.0049787, 1
0.0049824, 0
0.0049837, 1
0.0049873, 0
0.0049911, 1
0.0049923, 0
0.0049960, 1
0.0049972, 0
0.0050010, 1
0.0050022, 0
0.0050059, 1
0.0050071, 0
0.0050109, 1
0.0050120, 0
0.0050158, 1
0.0050170, 0
0.0050207, 1
0.0050219, 0
0.0050257, 1
0.0050269, 0
0.0050281, 1
0.0050306, 0
0.0050337, 1
0.0050346, 0
0.0050377, 1
0.0050385, 0
0.0050417, 1
0.0050425, 0
0.0050456, 1
0.0050465, 0
0.0050496, 1
0.0050505, 0
0.0050536, 1
0.0050545, 0
0.0050556, 1
0.0050585, 0
0.0050616, 1
0.0050625, 0
0.0050656, 1
0.0050664, 0
0.0050696, 1
0.0050704, 0
0.0050736, 1
0.0050744, 0
0.0050775, 1
0.0050784, 0
0.0050815, 1
0.0050824, 0
0.0050855, 1
0.0050864, 0
0.0050895, 1
0.0050904, 0
0.0050935, 1
0.0050944, 0
0.0050975, 1
0.0050983, 0
0.0051015, 1
0.0051023, 0
0.0051055, 1
0.0051063, 0
0.0051094, 1
0.0051103, 0
0.0051134, 1
0.0051143, 0
0.0051174, 1
0.0051183, 0
0.0051214, 1
0.0051223, 0
0.0051254, 1
0.0051263, 0
0.0051294, 1
0.0051302, 0
0.0051334, 1
0.0051342, 0
0.0051374, 1
0.0051382, 0
0.0051413, 1
0.0051422, 0
0.0051453, 1
0.0051462, 0
0.0051493, 1
0.0051502, 0
0.0051533, 1
0.0051542, 0
0.0051573, 1
0.0051582, 0
0.0051613, 1
0.0051621, 0
0.0051653, 1
0.0051661, 0
0.0051693, 1
0.0051701, 0
0.0051732, 1
0.0051741, 0
0.0051772, 1
0.0051781, 0
0.0051812, 1
0.0051821, 0
0.0051852, 1
0.0051861, 0
0.0051892, 1
0.0051901, 0
0.0051932, 1
0.0051940, 0
0.0051972, 1
0.0051980, 0
0.0052012, 1
0.0052020, 0
0.0052051, 1
0.0052060, 0
0.0052091, 1
0.0052100, 0
0.0052131, 1
0.0052140, 0
0.0052171, 1
0.0052180, 0
0.0052211, 1
0.0052220, 0
0.0052251, 1
0.0052259, 0
0.0052291, 1
0.0052299, 0
0.0052331, 1
0.0052339, 0
0.0052370, 1
0.0052379, 0
0.0052410, 1
0.0052419, 0
0.0052450, 1
0.0052459, 0
0.0052490, 1
0.0052499, 0
0.0052530, 1
0.0052539, 0
0.0052570, 1
0.0052578, 0
0.0052610, 1
0.0052618, 0
0.0052650, 1
0.0052658, 0
0.0052689, 1
0.0052698, 0
0.0052709, 1
0.0052738, 0
0.0052769, 1
0.0052778, 0
0.0052809, 1
0.0052818, 0
0.0052829, 1
0.0052858, 0
0.0052879, 1
0.0059893, 0
0.0059930, 1
0.0059942, 0
0.0059955, 1
0.0059992, 0
0.0060029, 1
0.0060041, 0
0.0060079, 1
0.0060090, 0
0.0060128, 1
0.0060140, 0
0.0060178, 1
0.0060189, 0
0.0060227, 1
0.0060239, 0
0.0060276, 1
0.0060288, 0
0.0060326, 1
0.0060337, 0
0.0060375, 1
0.0060387, 0
0.0060424, 1
0.0060436, 0
0.0060474, 1
0.0060486, 0
0.0060523, 1
0.0060535, 0
0.0060573, 1
0.0060584, 0
0.0060597, 1
0.0060634, 0
0.0060647, 1
0.0060683, 0
0.0060721, 1
0.0060733, 0
0.0060770, 1
0.0060782, 0
0.0060820, 1
0.0060831, 0
0.0060869, 1
0.0060881, 0
0.0060918, 1
0.0060930, 0
0.0060968, 1
0.0060979, 0
0.0061017, 1
0.0061029, 0
0.0061066, 1
0.0061078, 0
0.0061091, 1
0.0061116, 0
0.0061147, 1
0.0061156, 0
0.0061187, 1
0.0061196, 0
0.0061227, 1
0.0061236, 0
0.0061267, 1
0.0061276, 0
0.0061307, 1
0.0061316, 0
0.0061347, 1
0.0061355, 0
0.0061366, 1
0.0061395, 0
0.0061427, 1
0.0061435, 0
0.0061466, 1
0.0061475, 0
0.0061506, 1
0.0061515, 0
0.0061546, 1
0.0061555, 0
0.0061586, 1
0.0061595, 0
0.0061626, 1
0.0061635, 0
0.0061666, 1
0.0061674, 0
0.0061706, 1
0.0061714, 0
0.0061746, 1
0.0061754, 0
0.0061785, 1
0.0061794, 0
0.0061825, 1
0.0061834, 0
0.0061865, 1
0.0061874, 0
0.0061905, 1
0.0061914, 0
0.0061945, 1
0.0061954, 0
0.0061985, 1
0.0061993, 0
0.0062025, 1
0.0062033, 0
0.0062065, 1
0.0062073, 0
0.0062104, 1
0.0062113, 0
0.0062144, 1
0.0062153, 0
0.0062184, 1
0.0062193, 0
0.0062224, 1
0.0062233, 0
0.0062264, 1
0.0062273, 0
0.0062304, 1
0.0062312, 0
0.0062344, 1
0.0062352, 0
0.0062384, 1
0.0062392, 0
0.0062423, 1
0.0062432, 0
0.0062463, 1
0.0062472, 0
0.0062503, 1
0.0062512, 0
0.0062543, 1
0.0062552, 0
0.0062583, 1
0.0062591, 0
0.0062623, 1
0.0062631, 0
0.0062663, 1
0.0062671, 0
0.0062702, 1
0.0062711, 0
0.0062742, 1
0.0062751, 0
0.0062782, 1
0.0062791, 0
0.0062822, 1
0.0062831, 0
0.0062862, 1
0.0062871, 0
0.0062902, 1
0.0062910, 0
0.0062942, 1
0.0062950, 0
0.0062982, 1
0.0062990, 0
0.0063021, 1
0.0063030, 0
0.0063061, 1
0.0063070, 0
0.0063101, 1
0.0063110, 0
0.0063141, 1
0.0063150, 0
0.0063181, 1
0.0063190, 0
0.0063221, 1
0.0063229, 0
0.0063261, 1
0.0063269, 0
0.0063301, 1
0.0063309, 0
0.0063340, 1
0.0063349, 0
0.0063380, 1
0.0063389, 0
0.0063420, 1
0.0063429, 0
0.0063460, 1
0.0063469, 0
0.0063500, 1
0.0063509, 0
0.0063520, 1
0.0063548, 0
0.0063580, 1
0.0063588, 0
0.0063599, 1
0.0063628, 0
0.0063659, 1
0.0063668, 0
0.0063689, 1
0.0216254, 0
0.0216292, 1
0.0216303, 0
0.0216316, 1
0.0216353, 0
0.0216390, 1
0.0216402, 0
0.0216440, 1
0.0216452, 0
0.0216489, 1
0.0216501, 0
0.0216539, 1
0.0216550, 0
0.0216588, 1
0.0216600, 0
0.0216637, 1
0.0216649, 0
0.0216687, 1
0.0216699, 0
