Time[s], Channel 0
0.0000000, 1
0.0045600, 0
0.0045637, 1
0.0045649, 0
0.0045662, 1
0.0045698, 0
0.0045736, 1
0.0045748, 0
0.0045785, 1
0.0045797, 0
0.0045835, 1
0.0045846, 0
0.0045884, 1
0.0045896, 0
0.0045933, 1
0.0045945, 0
0.0045983, 1
0.0045995, 0
0.0046032, 1
0.0046044, 0
0.0046082, 1
0.0046093, 0
0.0046131, 1
0.0046143, 0
0.0046180, 1
0.0046192, 0
0.0046230, 1
0.0046241, 0
0.0046279, 1
0.0046291, 0
0.0046304, 1
0.0046340, 0
0.0046353, 1
0.0046390, 0
0.0046427, 1
0.0046439, 0
0.0046477, 1
0.0046488, 0
0.0046526, 1
0.0046538, 0
0.0046575, 1
0.0046587, 0
0.0046625, 1
0.0046637, 0
0.0046674, 1
0.0046686, 0
0.0046724, 1
0.0046735, 0
0.0046773, 1
0.0046785, 0
0.0046798, 1
0.0046822, 0
0.0046853, 1
0.0046862, 0
0.0046893, 1
0.0046902, 0
0.0046933, 1
0.0046941, 0
0.0046973, 1
0.0046981, 0
0.0047013, 1
0.0047021, 0
0.0047052, 1
0.0047061, 0
0.0047092, 1
0.0047101, 0
0.0047112, 1
0.0047141, 0
0.0047172, 1
0.0047181, 0
0.0047212, 1
0.0047221, 0
0.0047252, 1
0.0047260, 0
0.0047292, 1
0.0047300, 0
0.0047332, 1
0.0047340, 0
0.0047371, 1
0.0047380, 0
0.0047411, 1
0.0047420, 0
0.0047451, 1
0.0047460, 0
0.0047491, 1
0.0047500, 0
0.0047531, 1
0.0047540, 0
0.0047571, 1
0.0047579, 0
0.0047611, 1
0.0047619, 0
0.0047651, 1
0.0047659, 0
0.0047690, 1
0.0047699, 0
0.0047730, 1
0.0047739, 0
0.0047770, 1
0.0047779, 0
0.0047810, 1
0.0047819, 0
0.0047850, 1
0.0047859, 0
0.0047890, 1
0.0047898, 0
0.0047930, 1
0.0047938, 0
0.0047969, 1
0.0047978, 0
0.0048009, 1
0.0048018, 0
0.0048049, 1
0.0048058, 0
0.0048089, 1
0.0048098, 0
0.0048129, 1
0.0048138, 0
0.0048169, 1
0.0048177, 0
0.0048209, 1
0.0048217, 0
0.0048249, 1
0.0048257, 0
0.0048288, 1
0.0048297, 0
0.0048328, 1
0.0048337, 0
0.0048368, 1
0.0048377, 0
0.0048408, 1
0.0048417, 0
0.0048448, 1
0.0048457, 0
0.0048488, 1
0.0048496, 0
0.0048528, 1
0.0048536, 0
0.0048568, 1
0.0048576, 0
0.0048607, 1
0.0048616, 0
0.0048647, 1
0.0048656, 0
0.0048687, 1
0.0048696, 0
0.0048727, 1
0.0048736, 0
0.0048767, 1
0.0048776, 0
0.0048807, 1
0.0048815, 0
0.0048847, 1
0.0048855, 0
0.0048887, 1
0.0048895, 0
0.0048926, 1
0.0048935, 0
0.0048966, 1
0.0048975, 0
0.0049006, 1
0.0049015, 0
0.0049046, 1
0.0049055, 0
0.0049086, 1
0.0049095, 0
0.0049126, 1
0.0049134, 0
0.0049166, 1
0.0049174, 0
0.0049206, 1
0.0049214, 0
0.0049225, 1
0.0049254, 0
0.0049285, 1
0.0049294, 0
0.0049305, 1
0.0049334, 0
0.0049365, 1
0.0049374, 0
0.0049395, 1
0.0056088, 0
0.0056126, 1
0.0056138, 0
0.0056150, 1
0.0056187, 0
0.0056225, 1
0.0056236, 0
0.0056274, 1
0.0056286, 0
0.0056323, 1
0.0056335, 0
0.0056373, 1
0.0056384, 0
0.0056422, 1
0.0056434, 0
0.0056471, 1
0.0056483, 0
0.0056521, 1
0.0056533, 0
0.0056570, 1
0.0056582, 0
0.0056620, 1
0.0056631, 0
0.0056669, 1
0.0056681, 0
0.0056718, 1
0.0056730, 0
0.0056768, 1
0.0056780, 0
0.0056792, 1
0.0056829, 0
0.0056842, 1
0.0056878, 0
0.0056916, 1
0.0056928, 0
0.0056965, 1
0.0056977, 0
0.0057015, 1
0.0057027, 0
0.0057064, 1
0.0057076, 0
0.0057114, 1
0.0057125, 0
0.0057163, 1
0.0057175, 0
0.0057212, 1
0.0057224, 0
0.0057262, 1
0.0057273, 0
0.0057286, 1
0.0057308, 0
0.0057340, 1
0.0057348, 0
0.0057379, 1
0.0057388, 0
0.0057419, 1
0.0057428, 0
0.0057459, 1
0.0057468, 0
0.0057499, 1
0.0057508, 0
0.0057539, 1
0.0057548, 0
0.0057579, 1
0.0057587, 0
0.0057598, 1
0.0057627, 0
0.0057659, 1
0.0057667, 0
0.0057698, 1
0.0057707, 0
0.0057738, 1
0.0057747, 0
0.0057778, 1
0.0057787, 0
0.0057818, 1
0.0057827, 0
0.0057858, 1
0.0057867, 0
0.0057898, 1
0.0057906, 0
0.0057938, 1
0.0057946, 0
0.0057978, 1
0.0057986, 0
0.0058017, 1
0.0058026, 0
0.0058057, 1
0.0058066, 0
0.0058097, 1
0.0058106, 0
0.0058137, 1
0.0058146, 0
0.0058177, 1
0.0058186, 0
0.0058217, 1
0.0058225, 0
0.0058257, 1
0.0058265, 0
0.0058297, 1
0.0058305, 0
0.0058336, 1
0.0058345, 0
0.0058376, 1
0.0058385, 0
0.0058416, 1
0.0058425, 0
0.0058456, 1
0.0058465, 0
0.0058496, 1
0.0058505, 0
0.0058536, 1
0.0058544, 0
0.0058576, 1
0.0058584, 0
0.0058616, 1
0.0058624, 0
0.0058655, 1
0.0058664, 0
0.0058695, 1
0.0058704, 0
0.0058735, 1
0.0058744, 0
0.0058775, 1
0.0058784, 0
0.0058815, 1
0.0058824, 0
0.0058855, 1
0.0058863, 0
0.0058895, 1
0.0058903, 0
0.0058935, 1
0.0058943, 0
0.0058974, 1
0.0058983, 0
0.0059014, 1
0.0059023, 0
0.0059054, 1
0.0059063, 0
0.0059094, 1
0.0059103, 0
0.0059134, 1
0.0059143, 0
0.0059174, 1
0.0059182, 0
0.0059214, 1
0.0059222, 0
0.0059254, 1
0.0059262, 0
0.0059293, 1
0.0059302, 0
0.0059333, 1
0.0059342, 0
0.0059373, 1
0.0059382, 0
0.0059413, 1
0.0059422, 0
0.0059453, 1
0.0059462, 0
0.0059493, 1
0.0059501, 0
0.0059533, 1
0.0059541, 0
0.0059572, 1
0.0059581, 0
0.0059612, 1
0.0059621, 0
0.0059652, 1
0.0059661, 0
0.0059692, 1
0.0059701, 0
0.0059712, 1
0.0059741, 0
0.0059772, 1
0.0059781, 0
0.0059791, 1
0.0059820, 0
0.0059852, 1
0.0059860, 0
0.0059881, 1
0.0212128, 0
0.0212166, 1
0.0212178, 0
0.0212190, 1
0.0212227, 0
0.0212265, 1
0.0212276, 0
0.0212314, 1
0.0212326, 0
0.0212363, 1
0.0212375, 0
0.0212413, 1
0.0212425, 0
0.0212462, 1
0.0212474, 0
0.0212512, 1
0.0212523, 0
0.0212561, 1
0.0212573, 0
0.0212610, 1
0.0212622, 0
0.0212660, 1
0.0212672, 0
0.0212709, 1
0.0212721, 0
0.0212759, 1
0.0212770, 0
0.0212808, 1
0.0212820, 0
0.0212832, 1
0.0212869, 0
0.0212882, 1
0.0212918, 0
0.0212956, 1
0.0212968, 0
0.0213005, 1
0.0213017, 0
0.0213055, 1
0.0213067, 0
0.0213104, 1
0.0213116, 0
0.0213154, 1
0.0213165, 0
0.0213203, 1
0.0213215, 0
0.0213252, 1
0.0213264, 0
0.0213302, 1
0.0213314, 0
0.0213326, 1
0.0213351, 0
0.0213382, 1
0.0213391, 0
0.0213422, 1
0.0213431, 0
0.0213462, 1
0.0213470, 0
0.0213502, 1
0.0213510, 0
0.0213542, 1
0.0213550, 0
0.0213581, 1
0.0213590, 0
0.0213621, 1
0.0213630, 0
0.0213641, 1
0.0213670, 0
0.0213701, 1
0.0213710, 0
0.0213741, 1
0.0213750, 0
0.0213781, 1
0.0213789, 0
0.0213821, 1
0.0213829, 0
0.0213860, 1
0.0213869, 0
0.0213900, 1
0.0213909, 0
0.0213940, 1
0.0213949, 0
0.0213980, 1
0.0213989, 0
0.0214020, 1
0.0214029, 0
0.0214060, 1
0.0214069, 0
0.0214100, 1
0.0214108, 0
0.0214140, 1
0.0214148, 0
0.0214180, 1
0.0214188, 0
0.0214219, 1
0.0214228, 0
0.0214259, 1
0.0214268, 0
0.0214299, 1
0.0214308, 0
0.0214339, 1
0.0214348, 0
0.0214379, 1
0.0214388, 0
0.0214419, 1
0.0214427, 0
0.0214459, 1
0.0214467, 0
0.0214498, 1
0.0214507, 0
0.0214538, 1
0.0214547, 0
0.0214578, 1
0.0214587, 0
0.0214618, 1
0.0214627, 0
0.0214658, 1
0.0214667, 0
0.0214698, 1
0.0214706, 0
0.0214738, 1
0.0214746, 0
0.0214778, 1
0.0214786, 0
0.0214817, 1
0.0214826, 0
0.0214857, 1
0.0214866, 0
0.0214897, 1
0.0214906, 0
0.0214937, 1
0.0214946, 0
0.0214977, 1
0.0214986, 0
0.0215017, 1
0.0215025, 0
0.0215057, 1
0.0215065, 0
0.0215097, 1
0.0215105, 0
0.0215136, 1
0.0215145, 0
0.0215176, 1
0.0215185, 0
0.0215216, 1
0.0215225, 0
0.0215256, 1
0.0215265, 0
0.0215296, 1
0.0215305, 0
0.0215336, 1
0.0215344, 0
0.0215376, 1
0.0215384, 0
0.0215416, 1
0.0215424, 0
0.0215455, 1
0.0215464, 0
0.0215495, 1
0.0215504, 0
0.0215535, 1
0.0215544, 0
0.0215575, 1
0.0215584, 0
0.0215615, 1
0.0215624, 0
0.0215655, 1
0.0215663, 0
0.0215695, 1
0.0215703, 0
0.0215735, 1
0.0215743, 0
0.0215754, 1
0.0215783, 0
0.0215814, 1
0.0215823, 0
0.0215834, 1
0.0215863, 0
0.0215894, 1
0.0215903, 0
0.0215924, 1
0.0222938, 0
0.0222976, 1
0.0222987, 0
0.0223000, 1
0.0223037, 0
0.0223074, 1
0.0223086, 0
0.0223124, 1
0.0223136, 0
0.0223173, 1
0.0223185, 0
0.0223223, 1
0.0223234, 0
0.0223272, 1
0.0223284, 0
0.0223321, 1
0.0223333, 0
0.0223371, 1
0.0223382, 0
0.0223420, 1
0.0223432, 0
0.0223469, 1
0.0223481, 0
0.0223519, 1
0.0223531, 0
0.0223568, 1
0.0223580, 0
0.0223618, 1
0.0223629, 0
0.0223642, 1
0.0223679, 0
0.0223692, 1
0.0223728, 0
0.0223766, 1
0.0223778, 0
0.0223815, 1
0.0223827, 0
0.0223865, 1
0.0223876, 0
0.0223914, 1
0.0223926, 0
0.0223963, 1
0.0223975, 0
0.0224013, 1
0.0224024, 0
0.0224062, 1
0.0224074, 0
0.0224111, 1
0.0224123, 0
0.0224136, 1
0.0224161, 0
0.0224193, 1
0.0224201, 0
0.0224232, 1
0.0224241, 0
0.0224272, 1
0.0224281, 0
0.0224312, 1
0.0224321, 0
0.0224352, 1
0.0224361, 0
0.0224392, 1
0.0224401, 0
0.0224432, 1
0.0224440, 0
0.0224451, 1
0.0224480, 0
0.0224512, 1
0.0224520, 0
0.0224551, 1
0.0224560, 0
0.0224591, 1
0.0224600, 0
0.0224631, 1
0.0224640, 0
0.0224671, 1
0.0224680, 0
0.0224711, 1
0.0224720, 0
0.0224751, 1
0.0224759, 0
0.0224791, 1
0.0224799, 0
0.0224831, 1
0.0224839, 0
0.0224870, 1
0.0224879, 0
0.0224910, 1
0.0224919, 0
0.0224950, 1
0.0224959, 0
0.0224990, 1
0.0224999, 0
0.0225030, 1
0.0225039, 0
0.0225070, 1
0.0225078, 0
0.0225110, 1
0.0225118, 0
0.0225150, 1
0.0225158, 0
0.0225189, 1
0.0225198, 0
0.0225229, 1
0.0225238, 0
0.0225269, 1
0.0225278, 0
0.0225309, 1
0.0225318, 0
0.0225349, 1
0.0225358, 0
0.0225389, 1
0.0225397, 0
0.0225429, 1
0.0225437, 0
0.0225469, 1
0.0225477, 0
0.0225508, 1
0.0225517, 0
0.0225548, 1
0.0225557, 0
0.0225588, 1
0.0225597, 0
0.0225628, 1
0.0225637, 0
0.0225668, 1
0.0225677, 0
0.0225708, 1
0.0225716, 0
0.0225748, 1
0.0225756, 0
0.0225787, 1
0.0225796, 0
0.0225827, 1
0.0225836, 0
0.0225867, 1
0.0225876, 0
0.0225907, 1
0.0225916, 0
0.0225947, 1
0.0225956, 0
0.0225987, 1
0.0225995, 0
0.0226027, 1
0.0226035, 0
0.0226067, 1
0.0226075, 0
0.0226106, 1
0.0226115, 0
0.0226146, 1
0.0226155, 0
0.0226186, 1
0.0226195, 0
0.0226226, 1
0.0226235, 0
0.0226266, 1
0.0226275, 0
0.0226306, 1
0.0226314, 0
0.0226346, 1
0.0226354, 0
0.0226386, 1
0.0226394, 0
0.0226425, 1
0.0226434, 0
0.0226465, 1
0.0226474, 0
0.0226505, 1
0.0226514, 0
0.0226545, 1
0.0226554, 0
0.0226565, 1
0.0226594, 0
0.0226625, 1
0.0226633, 0
0.0226644, 1
0.0226673, 0
0.0226684, 1
0.0226713, 0
0.0226734, 1
0.0379299, 0
0.0379337, 1
0.0379348, 0
0.0379361, 1
0.0379398, 0
0.0379435, 1
0.0379447, 0
0.0379485, 1
0.0379497, 0
0.0379534, 1
0.0379546, 0
0.0379584, 1
0.0379595, 0
0.0379633, 1
0.0379645, 0
0.0379682, 1
0.0379694, 0
0.0379732, 1
0.0379744, 0
0.0379781, 1
0.0379793, 0
0.0379831, 1
0.0379842, 0
0.0379880, 1
0.0379892, 0
0.0379929, 1
0.0379941, 0
0.0379979, 1
0.0379991, 0
0.0380003, 1
0.0380040, 0
0.0380053, 1
0.0380089, 0
0.0380127, 1
0.0380139, 0
0.0380176, 1
0.0380188, 0
0.0380226, 1
0.0380237, 0
0.0380275, 1
0.0380287, 0
0.0380324, 1
0.0380336, 0
0.0380374, 1
0.0380386, 0
0.0380423, 1
0.0380435, 0
0.0380473, 1
0.0380484, 0
0.0380497, 1
0.0380523, 0
0.0380554, 1
0.0380563, 0
0.0380594, 1
0.0380602, 0
0.0380634, 1
0.0380642, 0
0.0380674, 1
0.0380682, 0
0.0380713, 1
0.0380722, 0
0.0380753, 1
0.0380762, 0
0.0380793, 1
0.0380802, 0
0.0380813, 1
0.0380842, 0
0.0380873, 1
0.0380882, 0
0.0380913, 1
0.0380921, 0
0.0380953, 1
0.0380961, 0
0.0380993, 1
0.0381001, 0
0.0381032, 1
0.0381041, 0
0.0381072, 1
0.0381081, 0
0.0381112, 1
0.0381121, 0
0.0381152, 1
0.0381161, 0
0.0381192, 1
0.0381201, 0
0.0381232, 1
0.0381240, 0
0.0381272, 1
0.0381280, 0
0.0381312, 1
0.0381320, 0
0.0381351, 1
0.0381360, 0
0.0381391, 1
0.0381400, 0
0.0381431, 1
0.0381440, 0
0.0381471, 1
0.0381480, 0
0.0381511, 1
0.0381520, 0
0.0381551, 1
0.0381559, 0
0.0381591, 1
0.0381599, 0
0.0381631, 1
0.0381639, 0
0.0381670, 1
0.0381679, 0
0.0381710, 1
0.0381719, 0
0.0381750, 1
0.0381759, 0
0.0381790, 1
0.0381799, 0
0.0381830, 1
0.0381839, 0
0.0381870, 1
0.0381878, 0
0.0381910, 1
0.0381918, 0
0.0381950, 1
0.0381958, 0
0.0381989, 1
0.0381998, 0
0.0382029, 1
0.0382038, 0
0.0382069, 1
0.0382078, 0
0.0382109, 1
0.0382118, 0
0.0382149, 1
0.0382158, 0
0.0382189, 1
0.0382197, 0
0.0382229, 1
0.0382237, 0
0.0382269, 1
0.0382277, 0
0.0382308, 1
0.0382317, 0
0.0382348, 1
0.0382357, 0
0.0382388, 1
0.0382397, 0
0.0382428, 1
0.0382437, 0
0.0382468, 1
0.0382477, 0
0.0382508, 1
0.0382516, 0
0.0382548, 1
0.0382556, 0
0.0382587, 1
0.0382596, 0
0.0382627, 1
0.0382636, 0
0.0382667, 1
0.0382676, 0
0.0382707, 1
0.0382716, 0
0.0382747, 1
0.0382756, 0
0.0382787, 1
0.0382796, 0
0.0382827, 1
0.0382835, 0
0.0382867, 1
0.0382875, 0
0.0382906, 1
0.0382915, 0
0.0382926, 1
0.0382955, 0
0.0382986, 1
0.0382995, 0
0.0383006, 1
0.0383035, 0
0.0383066, 1
0.0383075, 0
0.0383096, 1
0.0389788, 0
0.0389825, 1
0.0389837, 0
0.0389850, 1
0.0389887, 0
0.0389924, 1
0.0389936, 0
0.0389974, 1
0.0389985, 0
0.0390023, 1
0.0390035, 0
0.0390072, 1
0.0390084, 0
0.0390122, 1
0.0390133, 0
0.0390171, 1
0.0390183, 0
0.0390220, 1
0.0390232, 0
0.0390270, 1
0.0390282, 0
0.0390319, 1
0.0390331, 0
0.0390369, 1
0.0390380, 0
0.0390418, 1
0.0390430, 0
0.0390467, 1
0.0390479, 0
0.0390492, 1
0.0390529, 0
0.0390541, 1
0.0390578, 0
0.0390616, 1
0.0390627, 0
0.0390665, 1
0.0390677, 0
0.0390714, 1
0.0390726, 0
0.0390764, 1
0.0390776, 0
0.0390813, 1
0.0390825, 0
0.0390863, 1
0.0390874, 0
0.0390912, 1
0.0390924, 0
0.0390961, 1
0.0390973, 0
0.0390986, 1
0.0391009, 0
0.0391041, 1
0.0391049, 0
0.0391080, 1
0.0391089, 0
0.0391120, 1
0.0391129, 0
0.0391160, 1
0.0391169, 0
0.0391200, 1
0.0391209, 0
0.0391240, 1
0.0391249, 0
0.0391280, 1
0.0391288, 0
0.0391299, 1
0.0391328, 0
0.0391360, 1
0.0391368, 0
0.0391399, 1
0.0391408, 0
0.0391439, 1
0.0391448, 0
0.0391479, 1
0.0391488, 0
0.0391519, 1
0.0391528, 0
0.0391559, 1
0.0391568, 0
0.0391599, 1
0.0391607, 0
0.0391639, 1
0.0391647, 0
0.0391679, 1
0.0391687, 0
0.0391718, 1
0.0391727, 0
0.0391758, 1
0.0391767, 0
0.0391798, 1
0.0391807, 0
0.0391838, 1
0.0391847, 0
0.0391878, 1
0.0391887, 0
0.0391918, 1
0.0391926, 0
0.0391958, 1
0.0391966, 0
0.0391998, 1
0.0392006, 0
0.0392037, 1
0.0392046, 0
0.0392077, 1
0.0392086, 0
0.0392117, 1
0.0392126, 0
0.0392157, 1
0.0392166, 0
0.0392197, 1
0.0392206, 0
0.0392237, 1
0.0392245, 0
0.0392277, 1
0.0392285, 0
0.0392316, 1
0.0392325, 0
0.0392356, 1
0.0392365, 0
0.0392396, 1
0.0392405, 0
0.0392436, 1
0.0392445, 0
0.0392476, 1
0.0392485, 0
0.0392516, 1
0.0392524, 0
0.0392556, 1
0.0392564, 0
0.0392596, 1
0.0392604, 0
0.0392635, 1
0.0392644, 0
0.0392675, 1
0.0392684, 0
0.0392715, 1
0.0392724, 0
0.0392755, 1
0.0392764, 0
0.0392795, 1
0.0392804, 0
0.0392835, 1
0.0392843, 0
0.0392875, 1
0.0392883, 0
0.0392915, 1
0.0392923, 0
0.0392954, 1
0.0392963, 0
0.0392994, 1
0.0393003, 0
0.0393034, 1
0.0393043, 0
0.0393074, 1
0.0393083, 0
0.0393114, 1
0.0393123, 0
0.0393154, 1
0.0393162, 0
0.0393194, 1
0.0393202, 0
0.0393234, 1
0.0393242, 0
0.0393273, 1
0.0393282, 0
0.0393313, 1
0.0393322, 0
0.0393353, 1
0.0393362, 0
0.0393393, 1
0.0393402, 0
0.0393413, 1
0.0393442, 0
0.0393473, 1
0.0393481, 0
0.0393492, 1
0.0393521, 0
0.0393553, 1
0.0393561, 0
0.0393582, 1
0.0545828, 0
0.0545865, 1
0.0545877, 0
0.0545890, 1
0.0545927, 0
0.0545964, 1
0.0545976, 0
0.0546014, 1
0.0546025, 0
0.0546063, 1
0.0546075, 0
0.0546112, 1
0.0546124, 0
0.0546162, 1
0.0546174, 0
0.0546211, 1
0.0546223, 0
0.0546261, 1
0.0546272, 0
0.0546310, 1
0.0546322, 0
0.0546359, 1
0.0546371, 0
0.0546409, 1
0.0546421, 0
0.0546458, 1
0.0546470, 0
0.0546508, 1
0.0546519, 0
0.0546532, 1
0.0546569, 0
0.0546581, 1
0.0546618, 0
0.0546656, 1
0.0546667, 0
0.0546705, 1
0.0546717, 0
0.0546754, 1
0.0546766, 0
0.0546804, 1
0.0546816, 0
0.0546853, 1
0.0546865, 0
0.0546903, 1
0.0546914, 0
0.0546952, 1
0.0546964, 0
0.0547001, 1
0.0547013, 0
0.0547026, 1
0.0547052, 0
0.0547083, 1
0.0547092, 0
0.0547123, 1
0.0547131, 0
0.0547163, 1
0.0547171, 0
0.0547203, 1
0.0547211, 0
0.0547242, 1
0.0547251, 0
0.0547282, 1
0.0547291, 0
0.0547322, 1
0.0547331, 0
0.0547342, 1
0.0547371, 0
0.0547402, 1
0.0547411, 0
0.0547442, 1
0.0547450, 0
0.0547482, 1
0.0547490, 0
0.0547522, 1
0.0547530, 0
0.0547561, 1
0.0547570, 0
0.0547601, 1
0.0547610, 0
0.0547641, 1
0.0547650, 0
0.0547681, 1
0.0547690, 0
0.0547721, 1
0.0547730, 0
0.0547761, 1
0.0547769, 0
0.0547801, 1
0.0547809, 0
0.0547841, 1
0.0547849, 0
0.0547880, 1
0.0547889, 0
0.0547920, 1
0.0547929, 0
0.0547960, 1
0.0547969, 0
0.0548000, 1
0.0548009, 0
0.0548040, 1
0.0548049, 0
0.0548080, 1
0.0548088, 0
0.0548120, 1
0.0548128, 0
0.0548160, 1
0.0548168, 0
0.0548199, 1
0.0548208, 0
0.0548239, 1
0.0548248, 0
0.0548279, 1
0.0548288, 0
0.0548319, 1
0.0548328, 0
0.0548359, 1
0.0548368, 0
0.0548399, 1
0.0548407, 0
0.0548439, 1
0.0548447, 0
0.0548479, 1
0.0548487, 0
0.0548518, 1
0.0548527, 0
0.0548558, 1
0.0548567, 0
0.0548598, 1
0.0548607, 0
0.0548638, 1
0.0548647, 0
0.0548678, 1
0.0548687, 0
0.0548718, 1
0.0548726, 0
0.0548758, 1
0.0548766, 0
0.0548798, 1
0.0548806, 0
0.0548837, 1
0.0548846, 0
0.0548877, 1
0.0548886, 0
0.0548917, 1
0.0548926, 0
0.0548957, 1
0.0548966, 0
0.0548997, 1
0.0549006, 0
0.0549037, 1
0.0549045, 0
0.0549077, 1
0.0549085, 0
0.0549116, 1
0.0549125, 0
0.0549156, 1
0.0549165, 0
0.0549196, 1
0.0549205, 0
0.0549236, 1
0.0549245, 0
0.0549276, 1
0.0549285, 0
0.0549316, 1
0.0549325, 0
0.0549356, 1
0.0549364, 0
0.0549396, 1
0.0549404, 0
0.0549435, 1
0.0549444, 0
0.0549455, 1
0.0549484, 0
0.0549515, 1
0.0549524, 0
0.0549535, 1
0.0549564, 0
0.0549595, 1
0.0549604, 0
0.0549625, 1
0.0556638, 0
0.0556675, 1
0.0556687, 0
0.0556700, 1
0.0556736, 0
0.0556774, 1
0.0556786, 0
0.0556823, 1
0.0556835, 0
0.0556873, 1
0.0556885, 0
0.0556922, 1
0.0556934, 0
0.0556972, 1
0.0556983, 0
0.0557021, 1
0.0557033, 0
0.0557070, 1
0.0557082, 0
0.0557120, 1
0.0557131, 0
0.0557169, 1
0.0557181, 0
0.0557218, 1
0.0557230, 0
0.0557268, 1
0.0557280, 0
0.0557317, 1
0.0557329, 0
0.0557342, 1
0.0557378, 0
0.0557391, 1
0.0557428, 0
0.0557465, 1
0.0557477, 0
0.0557515, 1
0.0557527, 0
0.0557564, 1
0.0557576, 0
0.0557614, 1
0.0557625, 0
0.0557663, 1
0.0557675, 0
0.0557712, 1
0.0557724, 0
0.0557762, 1
0.0557773, 0
0.0557811, 1
0.0557823, 0
0.0557836, 1
0.0557857, 0
0.0557889, 1
0.0557897, 0
0.0557928, 1
0.0557937, 0
0.0557968, 1
0.0557977, 0
0.0558008, 1
0.0558017, 0
0.0558048, 1
0.0558057, 0
0.0558088, 1
0.0558097, 0
0.0558128, 1
0.0558136, 0
0.0558147, 1
0.0558176, 0
0.0558208, 1
0.0558216, 0
0.0558247, 1
0.0558256, 0
0.0558287, 1
0.0558296, 0
0.0558327, 1
0.0558336, 0
0.0558367, 1
0.0558376, 0
0.0558407, 1
0.0558416, 0
0.0558447, 1
0.0558455, 0
0.0558487, 1
0.0558495, 0
0.0558527, 1
0.0558535, 0
0.0558566, 1
0.0558575, 0
0.0558606, 1
0.0558615, 0
0.0558646, 1
0.0558655, 0
0.0558686, 1
0.0558695, 0
0.0558726, 1
0.0558735, 0
0.0558766, 1
0.0558774, 0
0.0558806, 1
0.0558814, 0
0.0558845, 1
0.0558854, 0
0.0558885, 1
0.0558894, 0
0.0558925, 1
0.0558934, 0
0.0558965, 1
0.0558974, 0
0.0559005, 1
0.0559014, 0
0.0559045, 1
0.0559053, 0
0.0559085, 1
0.0559093, 0
0.0559125, 1
0.0559133, 0
0.0559164, 1
0.0559173, 0
0.0559204, 1
0.0559213, 0
0.0559244, 1
0.0559253, 0
0.0559284, 1
0.0559293, 0
0.0559324, 1
0.0559333, 0
0.0559364, 1
0.0559372, 0
0.0559404, 1
0.0559412, 0
0.0559444, 1
0.0559452, 0
0.0559483, 1
0.0559492, 0
0.0559523, 1
0.0559532, 0
0.0559563, 1
0.0559572, 0
0.0559603, 1
0.0559612, 0
0.0559643, 1
0.0559652, 0
0.0559683, 1
0.0559691, 0
0.0559723, 1
0.0559731, 0
0.0559763, 1
0.0559771, 0
0.0559802, 1
0.0559811, 0
0.0559842, 1
0.0559851, 0
0.0559882, 1
0.0559891, 0
0.0559922, 1
0.0559931, 0
0.0559962, 1
0.0559971, 0
0.0560002, 1
0.0560010, 0
0.0560042, 1
0.0560050, 0
0.0560082, 1
0.0560090, 0
0.0560121, 1
0.0560130, 0
0.0560161, 1
0.0560170, 0
0.0560201, 1
0.0560210, 0
