Time[s], Channel 0
0.0000000, 1
0.0091333, 0
0.0091370, 1
0.0091382, 0
0.0091395, 1
0.0091432, 0
0.0091469, 1
0.0091481, 0
0.0091519, 1
0.0091530, 0
0.0091568, 1
0.0091580, 0
0.0091617, 1
0.0091629, 0
0.0091667, 1
0.0091679, 0
0.0091716, 1
0.0091728, 0
0.0091766, 1
0.0091777, 0
0.0091815, 1
0.0091827, 0
0.0091864, 1
0.0091876, 0
0.0091914, 1
0.0091926, 0
0.0091963, 1
0.0091975, 0
0.0092013, 1
0.0092024, 0
0.0092037, 1
0.0092074, 0
0.0092086, 1
0.0092123, 0
0.0092161, 1
0.0092172, 0
0.0092210, 1
0.0092222, 0
0.0092259, 1
0.0092271, 0
0.0092309, 1
0.0092321, 0
0.0092358, 1
0.0092370, 0
0.0092408, 1
0.0092419, 0
0.0092457, 1
0.0092469, 0
0.0092506, 1
0.0092518, 0
0.0092531, 1
0.0092553, 0
0.0092585, 1
0.0092593, 0
0.0092624, 1
0.0092633, 0
0.0092664, 1
0.0092673, 0
0.0092704, 1
0.0092713, 0
0.0092744, 1
0.0092753, 0
0.0092784, 1
0.0092793, 0
0.0092824, 1
0.0092833, 0
0.0092843, 1
0.0092872, 0
0.0092904, 1
0.0092912, 0
0.0092943, 1
0.0092952, 0
0.0092983, 1
0.0092992, 0
0.0093023, 1
0.0093032, 0
0.0093063, 1
0.0093072, 0
0.0093103, 1
0.0093112, 0
0.0093143, 1
0.0093151, 0
0.0093183, 1
0.0093191, 0
0.0093223, 1
0.0093231, 0
0.0093262, 1
0.0093271, 0
0.0093302, 1
0.0093311, 0
0.0093342, 1
0.0093351, 0
0.0093382, 1
0.0093391, 0
0.0093422, 1
0.0093431, 0
0.0093462, 1
0.0093470, 0
0.0093502, 1
0.0093510, 0
0.0093542, 1
0.0093550, 0
0.0093581, 1
0.0093590, 0
0.0093621, 1
0.0093630, 0
0.0093661, 1
0.0093670, 0
0.0093701, 1
0.0093710, 0
0.0093741, 1
0.0093750, 0
0.0093781, 1
0.0093789, 0
0.0093821, 1
0.0093829, 0
0.0093861, 1
0.0093869, 0
0.0093900, 1
0.0093909, 0
0.0093940, 1
0.0093949, 0
0.0093980, 1
0.0093989, 0
0.0094020, 1
0.0094029, 0
0.0094060, 1
0.0094069, 0
0.0094100, 1
0.0094108, 0
0.0094140, 1
0.0094148, 0
0.0094180, 1
0.0094188, 0
0.0094219, 1
0.0094228, 0
