Time[s], Channel 0
0.0000000, 1
0.0085207, 0
0.0085245, 1
0.0085256, 0
0.0085269, 1
0.0085306, 0
0.0085343, 1
0.0085355, 0
0.0085393, 1
0.0085405, 0
0.0085442, 1
0.0085454, 0
0.0085492, 1
0.0085503, 0
0.0085541, 1
0.0085553, 0
0.0085590, 1
0.0085602, 0
0.0085640, 1
0.0085651, 0
0.0085689, 1
0.0085701, 0
0.0085738, 1
0.0085750, 0
0.0085788, 1
0.0085800, 0
0.0085837, 1
0.0085849, 0
0.0085887, 1
0.0085898, 0
0.0085911, 1
0.0085948, 0
0.0085961, 1
0.0085997, 0
0.0086035, 1
0.0086047, 0
0.0086084, 1
0.0086096, 0
0.0086134, 1
0.0086145, 0
0.0086183, 1
0.0086195, 0
0.0086232, 1
0.0086244, 0
0.0086282, 1
0.0086293, 0
0.0086331, 1
0.0086343, 0
0.0086380, 1
0.0086392, 0
0.0086405, 1
0.0086430, 0
0.0086461, 1
0.0086470, 0
0.0086501, 1
0.0086510, 0
0.0086541, 1
0.0086550, 0
0.0086581, 1
0.0086590, 0
0.0086601, 1
0.0086630, 0
0.0086661, 1
0.0086669, 0
0.0086680, 1
0.0086709, 0
0.0086740, 1
0.0086749, 0
0.0086780, 1
0.0086789, 0
0.0086820, 1
0.0086829, 0
0.0086860, 1
0.0086869, 0
0.0086900, 1
0.0086909, 0
0.0086940, 1
0.0086948, 0
0.0086980, 1
0.0086988, 0
0.0087020, 1
0.0087028, 0
0.0087059, 1
0.0087068, 0
0.0087099, 1
0.0087108, 0
0.0087139, 1
0.0087148, 0
0.0087179, 1
0.0087188, 0
0.0087219, 1
0.0087228, 0
0.0087259, 1
0.0087267, 0
0.0087299, 1
0.0087307, 0
0.0087339, 1
0.0087347, 0
0.0087378, 1
0.0087387, 0
0.0087418, 1
0.0087427, 0
0.0087458, 1
0.0087467, 0
0.0087498, 1
0.0087507, 0
0.0087538, 1
0.0087547, 0
0.0087578, 1
0.0087586, 0
0.0087618, 1
0.0087626, 0
0.0087658, 1
0.0087666, 0
0.0087697, 1
0.0087706, 0
0.0087737, 1
0.0087746, 0
0.0087777, 1
0.0087786, 0
0.0087817, 1
0.0087826, 0
0.0087857, 1
0.0087866, 0
0.0087897, 1
0.0087905, 0
0.0087937, 1
0.0087945, 0
0.0087977, 1
0.0087985, 0
0.0088016, 1
0.0088025, 0
0.0088056, 1
0.0088065, 0
0.0088096, 1
0.0088105, 0
0.0088136, 1
0.0088145, 0
0.0088176, 1
0.0088185, 0
0.0088216, 1
0.0088224, 0
0.0088256, 1
0.0088264, 0
0.0088296, 1
0.0088304, 0
0.0088335, 1
0.0088344, 0
0.0088375, 1
0.0088384, 0
0.0088415, 1
0.0088424, 0
0.0088455, 1
0.0088464, 0
0.0088495, 1
0.0088504, 0
0.0088535, 1
0.0088543, 0
0.0088575, 1
0.0088583, 0
0.0088615, 1
0.0088623, 0
0.0088654, 1
0.0088663, 0
0.0088694, 1
0.0088703, 0
0.0088734, 1
0.0088743, 0
0.0088774, 1
0.0088783, 0
0.0088814, 1
0.0088823, 0
0.0088833, 1
0.0088862, 0
0.0088894, 1
0.0088902, 0
0.0088913, 1
0.0088942, 0
0.0088973, 1
0.0088982, 0
0.0089003, 1
0.0096017, 0
0.0096054, 1
0.0096066, 0
0.0096079, 1
0.0096115, 0
0.0096153, 1
0.0096165, 0
0.0096202, 1
0.0096214, 0
0.0096252, 1
0.0096264, 0
0.0096301, 1
0.0096313, 0
0.0096351, 1
0.0096362, 0
0.0096400, 1
0.0096412, 0
0.0096449, 1
0.0096461, 0
0.0096499, 1
0.0096511, 0
0.0096548, 1
0.0096560, 0
0.0096598, 1
0.0096609, 0
0.0096647, 1
0.0096659, 0
0.0096696, 1
0.0096708, 0
0.0096721, 1
0.0096758, 0
0.0096770, 1
0.0096807, 0
0.0096844, 1
0.0096856, 0
0.0096894, 1
0.0096906, 0
0.0096943, 1
0.0096955, 0
0.0096993, 1
0.0097004, 0
0.0097042, 1
0.0097054, 0
0.0097091, 1
0.0097103, 0
0.0097141, 1
0.0097153, 0
0.0097190, 1
0.0097202, 0
0.0097215, 1
0.0097241, 0
0.0097272, 1
0.0097281, 0
0.0097312, 1
0.0097320, 0
0.0097352, 1
0.0097360, 0
0.0097392, 1
0.0097400, 0
0.0097411, 1
0.0097440, 0
0.0097471, 1
0.0097480, 0
0.0097491, 1
0.0097520, 0
0.0097551, 1
0.0097560, 0
0.0097591, 1
0.0097600, 0
0.0097631, 1
0.0097639, 0
0.0097671, 1
0.0097679, 0
0.0097711, 1
0.0097719, 0
0.0097750, 1
0.0097759, 0
0.0097790, 1
0.0097799, 0
0.0097830, 1
0.0097839, 0
0.0097870, 1
0.0097879, 0
0.0097910, 1
0.0097919, 0
0.0097950, 1
0.0097958, 0
0.0097990, 1
0.0097998, 0
0.0098030, 1
0.0098038, 0
0.0098069, 1
0.0098078, 0
0.0098109, 1
0.0098118, 0
0.0098149, 1
0.0098158, 0
0.0098189, 1
0.0098198, 0
0.0098229, 1
0.0098238, 0
0.0098269, 1
0.0098277, 0
0.0098309, 1
0.0098317, 0
0.0098349, 1
0.0098357, 0
0.0098388, 1
0.0098397, 0
0.0098428, 1
0.0098437, 0
0.0098468, 1
0.0098477, 0
0.0098508, 1
0.0098517, 0
0.0098548, 1
0.0098556, 0
0.0098588, 1
0.0098596, 0
0.0098628, 1
0.0098636, 0
0.0098667, 1
0.0098676, 0
0.0098707, 1
0.0098716, 0
0.0098747, 1
0.0098756, 0
0.0098787, 1
0.0098796, 0
0.0098827, 1
0.0098836, 0
0.0098867, 1
0.0098875, 0
0.0098907, 1
0.0098915, 0
0.0098947, 1
0.0098955, 0
0.0098986, 1
0.0098995, 0
0.0099026, 1
0.0099035, 0
0.0099066, 1
0.0099075, 0
0.0099106, 1
0.0099115, 0
0.0099146, 1
0.0099155, 0
0.0099186, 1
0.0099194, 0
0.0099226, 1
0.0099234, 0
0.0099266, 1
0.0099274, 0
0.0099305, 1
0.0099314, 0
0.0099345, 1
0.0099354, 0
0.0099385, 1
0.0099394, 0
0.0099425, 1
0.0099434, 0
0.0099465, 1
0.0099474, 0
0.0099505, 1
0.0099513, 0
0.0099545, 1
0.0099553, 0
0.0099585, 1
0.0099593, 0
0.0099624, 1
0.0099633, 0
0.0099644, 1
0.0099673, 0
0.0099704, 1
0.0099713, 0
0.0099724, 1
0.0099753, 0
0.0099764, 1
0.0099793, 0
0.0099814, 1
0.0252378, 0
0.0252415, 1
0.0252427, 0
0.0252440, 1
0.0252477, 0
0.0252514, 1
0.0252526, 0
0.0252564, 1
0.0252575, 0
0.0252613, 1
0.0252625, 0
0.0252662, 1
0.0252674, 0
0.0252712, 1
0.0252724, 0
0.0252761, 1
0.0252773, 0
0.0252810, 1
0.0252822, 0
0.0252860, 1
0.0252872, 0
0.0252909, 1
0.0252921, 0
0.0252959, 1
0.0252970, 0
0.0253008, 1
0.0253020, 0
0.0253057, 1
0.0253069, 0
0.0253082, 1
0.0253119, 0
0.0253131, 1
0.0253168, 0
0.0253206, 1
0.0253217, 0
0.0253255, 1
0.0253267, 0
0.0253304, 1
0.0253316, 0
0.0253354, 1
0.0253366, 0
0.0253403, 1
0.0253415, 0
0.0253453, 1
0.0253464, 0
0.0253502, 1
0.0253514, 0
0.0253551, 1
0.0253563, 0
0.0253576, 1
0.0253597, 0
0.0253629, 1
0.0253637, 0
0.0253668, 1
0.0253677, 0
0.0253708, 1
0.0253717, 0
0.0253748, 1
0.0253757, 0
0.0253768, 1
0.0253797, 0
0.0253828, 1
0.0253837, 0
0.0253847, 1
0.0253876, 0
0.0253908, 1
0.0253916, 0
0.0253948, 1
0.0253956, 0
0.0253987, 1
0.0253996, 0
0.0254027, 1
0.0254036, 0
0.0254067, 1
0.0254076, 0
0.0254107, 1
0.0254116, 0
