Time[s], Channel 0
0.0000000, 1
0.0046174, 0
0.0046211, 1
0.0046223, 0
0.0046236, 1
0.0046273, 0
0.0046310, 1
0.0046322, 0
0.0046359, 1
0.0046371, 0
0.0046409, 1
0.0046421, 0
0.0046458, 1
0.0046470, 0
0.0046508, 1
0.0046519, 0
0.0046557, 1
0.0046569, 0
0.0046606, 1
0.0046618, 0
0.0046656, 1
0.0046668, 0
0.0046705, 1
0.0046717, 0
0.0046755, 1
0.0046766, 0
0.0046804, 1
0.0046816, 0
0.0046853, 1
0.0046865, 0
0.0046878, 1
0.0046915, 0
0.0046927, 1
0.0046964, 0
0.0047002, 1
0.0047013, 0
0.0047051, 1
0.0047063, 0
0.0047100, 1
0.0047112, 0
0.0047150, 1
0.0047161, 0
0.0047199, 1
0.0047211, 0
0.0047249, 1
0.0047260, 0
0.0047298, 1
0.0047310, 0
0.0047347, 1
0.0047359, 0
0.0047372, 1
0.0047396, 0
0.0047428, 1
0.0047436, 0
0.0047467, 1
0.0047476, 0
0.0047507, 1
0.0047516, 0
0.0047547, 1
0.0047556, 0
0.0047587, 1
0.0047596, 0
0.0047627, 1
0.0047636, 0
0.0047667, 1
0.0047675, 0
0.0047707, 1
0.0047715, 0
0.0047747, 1
0.0047755, 0
0.0047786, 1
0.0047795, 0
0.0047826, 1
0.0047835, 0
0.0047866, 1
0.0047875, 0
0.0047906, 1
0.0047915, 0
0.0047946, 1
0.0047955, 0
0.0047986, 1
0.0047994, 0
0.0048026, 1
0.0048034, 0
0.0048065, 1
0.0048074, 0
0.0048106, 1
0.0048114, 0
0.0048145, 1
0.0048154, 0
0.0048185, 1
0.0048194, 0
0.0048225, 1
0.0048234, 0
0.0048265, 1
0.0048273, 0
0.0048305, 1
0.0048313, 0
0.0048345, 1
0.0048353, 0
0.0048384, 1
0.0048393, 0
0.0048424, 1
0.0048433, 0
0.0048464, 1
0.0048473, 0
0.0048504, 1
0.0048513, 0
0.0048544, 1
0.0048553, 0
0.0048584, 1
0.0048592, 0
0.0048624, 1
0.0048632, 0
0.0048664, 1
0.0048672, 0
0.0048703, 1
0.0048712, 0
0.0048743, 1
0.0048752, 0
0.0048783, 1
0.0048792, 0
0.0048823, 1
0.0048832, 0
0.0048863, 1
0.0048872, 0
0.0048903, 1
0.0048911, 0
0.0048943, 1
0.0048951, 0
0.0048983, 1
0.0048991, 0
0.0049022, 1
0.0049031, 0
0.0049062, 1
0.0049071, 0
0.0049102, 1
0.0049111, 0
0.0049142, 1
0.0049151, 0
0.0049182, 1
0.0049191, 0
0.0049222, 1
0.0049230, 0
0.0049262, 1
0.0049270, 0
0.0049302, 1
0.0049310, 0
0.0049341, 1
0.0049350, 0
0.0049381, 1
0.0049390, 0
0.0049421, 1
0.0049430, 0
0.0049461, 1
0.0049470, 0
0.0049501, 1
0.0049510, 0
0.0049541, 1
0.0049549, 0
0.0049581, 1
0.0049589, 0
0.0049621, 1
