Time[s], Channel 0
0.0000000, 1
0.0118468, 0
0.0118506, 1
0.0118518, 0
0.0118530, 1
0.0118567, 0
0.0118605, 1
0.0118616, 0
0.0118654, 1
0.0118666, 0
0.0118703, 1
0.0118715, 0
0.0118753, 1
0.0118765, 0
0.0118802, 1
0.0118814, 0
0.0118852, 1
0.0118863, 0
0.0118901, 1
0.0118913, 0
0.0118950, 1
0.0118962, 0
0.0119000, 1
0.0119011, 0
0.0119049, 1
0.0119061, 0
0.0119099, 1
0.0119110, 0
0.0119148, 1
0.0119160, 0
0.0119172, 1
0.0119209, 0
0.0119222, 1
0.0119258, 0
0.0119296, 1
0.0119308, 0
0.0119345, 1
0.0119357, 0
0.0119395, 1
0.0119407, 0
0.0119444, 1
0.0119456, 0
0.0119494, 1
0.0119505, 0
0.0119543, 1
0.0119555, 0
0.0119592, 1
0.0119604, 0
0.0119642, 1
0.0119654, 0
0.0119666, 1
0.0119690, 0
0.0119721, 1
0.0119730, 0
0.0119761, 1
0.0119770, 0
0.0119801, 1
0.0119810, 0
0.0119841, 1
0.0119850, 0
0.0119881, 1
0.0119890, 0
0.0119921, 1
0.0119930, 0
0.0119961, 1
0.0119969, 0
0.0120001, 1
0.0120009, 0
0.0120040, 1
0.0120049, 0
0.0120080, 1
0.0120089, 0
0.0120120, 1
0.0120129, 0
0.0120160, 1
0.0120169, 0
0.0120200, 1
0.0120209, 0
0.0120240, 1
0.0120248, 0
0.0120280, 1
0.0120288, 0
0.0120320, 1
0.0120328, 0
0.0120359, 1
0.0120368, 0
0.0120399, 1
0.0120408, 0
0.0120439, 1
0.0120448, 0
0.0120479, 1
0.0120488, 0
0.0120519, 1
0.0120528, 0
0.0120559, 1
0.0120567, 0
0.0120599, 1
0.0120607, 0
0.0120639, 1
0.0120647, 0
0.0120678, 1
0.0120687, 0
0.0120718, 1
0.0120727, 0
0.0120758, 1
0.0120767, 0
0.0120798, 1
0.0120807, 0
0.0120838, 1
0.0120847, 0
0.0120878, 1
0.0120886, 0
0.0120918, 1
0.0120926, 0
0.0120958, 1
0.0120966, 0
0.0120997, 1
0.0121006, 0
0.0121037, 1
0.0121046, 0
0.0121077, 1
0.0121086, 0
0.0121117, 1
0.0121126, 0
0.0121157, 1
0.0121166, 0
0.0121197, 1
0.0121205, 0
0.0121237, 1
0.0121245, 0
0.0121277, 1
0.0121285, 0
0.0121316, 1
0.0121325, 0
0.0121356, 1
0.0121365, 0
0.0121396, 1
0.0121405, 0
0.0121436, 1
0.0121445, 0
0.0121476, 1
0.0121485, 0
0.0121516, 1
0.0121524, 0
0.0121556, 1
0.0121564, 0
0.0121596, 1
0.0121604, 0
0.0121635, 1
0.0121644, 0
0.0121675, 1
0.0121684, 0
0.0121715, 1
0.0121724, 0
0.0121755, 1
0.0121764, 0
0.0121795, 1
0.0121804, 0
0.0121835, 1
0.0121843, 0
0.0121875, 1
0.0121883, 0
0.0121915, 1
0.0121923, 0
0.0121954, 1
0.0121963, 0
0.0121994, 1
0.0122003, 0
0.0122034, 1
0.0122043, 0
0.0122074, 1
0.0122083, 0
0.0122094, 1
0.0122123, 0
0.0122154, 1
0.0122162, 0
0.0122194, 1
0.0122202, 0
0.0122213, 1
0.0122242, 0
0.0122263, 1
0.0129278, 0
0.0129316, 1
0.0129327, 0
0.0129340, 1
0.0129377, 0
0.0129414, 1
0.0129426, 0
0.0129464, 1
0.0129476, 0
0.0129513, 1
0.0129525, 0
0.0129563, 1
0.0129574, 0
0.0129612, 1
0.0129624, 0
0.0129661, 1
0.0129673, 0
0.0129711, 1
0.0129722, 0
0.0129760, 1
0.0129772, 0
0.0129809, 1
0.0129821, 0
0.0129859, 1
0.0129871, 0
0.0129908, 1
0.0129920, 0
0.0129958, 1
0.0129969, 0
0.0129982, 1
0.0130019, 0
0.0130032, 1
0.0130068, 0
0.0130106, 1
0.0130118, 0
0.0130155, 1
0.0130167, 0
0.0130205, 1
0.0130216, 0
0.0130254, 1
0.0130266, 0
0.0130303, 1
0.0130315, 0
0.0130353, 1
0.0130364, 0
0.0130402, 1
0.0130414, 0
0.0130452, 1
0.0130463, 0
0.0130476, 1
0.0130501, 0
