Time[s], Channel 0
0.0000000, 1
0.0100387, 0
0.0100425, 1
0.0100437, 0
0.0100449, 1
0.0100486, 0
0.0100524, 1
0.0100535, 0
0.0100573, 1
0.0100585, 0
0.0100622, 1
0.0100634, 0
0.0100672, 1
0.0100683, 0
0.0100721, 1
0.0100733, 0
0.0100770, 1
0.0100782, 0
0.0100820, 1
0.0100832, 0
0.0100869, 1
0.0100881, 0
0.0100919, 1
0.0100930, 0
0.0100968, 1
0.0100980, 0
0.0101017, 1
0.0101029, 0
0.0101067, 1
0.0101079, 0
0.0101091, 1
0.0101128, 0
0.0101141, 1
0.0101177, 0
0.0101215, 1
0.0101227, 0
0.0101264, 1
0.0101276, 0
0.0101314, 1
0.0101326, 0
0.0101363, 1
0.0101375, 0
0.0101412, 1
0.0101424, 0
0.0101462, 1
0.0101474, 0
0.0101511, 1
0.0101523, 0
0.0101561, 1
0.0101572, 0
0.0101585, 1
0.0101608, 0
0.0101639, 1
0.0101648, 0
0.0101679, 1
0.0101687, 0
0.0101719, 1
0.0101727, 0
0.0101759, 1
0.0101767, 0
0.0101798, 1
0.0101807, 0
0.0101818, 1
0.0101847, 0
0.0101878, 1
0.0101887, 0
0.0101898, 1
0.0101927, 0
0.0101958, 1
0.0101967, 0
0.0101998, 1
0.0102006, 0
0.0102038, 1
0.0102046, 0
0.0102078, 1
0.0102086, 0
0.0102117, 1
0.0102126, 0
0.0102157, 1
0.0102166, 0
0.0102197, 1
0.0102206, 0
0.0102237, 1
0.0102246, 0
0.0102277, 1
0.0102286, 0
0.0102317, 1
0.0102325, 0
0.0102357, 1
0.0102365, 0
0.0102397, 1
0.0102405, 0
0.0102436, 1
0.0102445, 0
0.0102476, 1
0.0102485, 0
0.0102516, 1
0.0102525, 0
0.0102556, 1
0.0102565, 0
0.0102596, 1
0.0102605, 0
0.0102636, 1
0.0102644, 0
0.0102676, 1
0.0102684, 0
0.0102716, 1
0.0102724, 0
0.0102755, 1
0.0102764, 0
0.0102795, 1
0.0102804, 0
0.0102835, 1
0.0102844, 0
0.0102875, 1
0.0102884, 0
0.0102915, 1
0.0102924, 0
0.0102955, 1
0.0102963, 0
0.0102995, 1
0.0103003, 0
0.0103035, 1
0.0103043, 0
0.0103074, 1
0.0103083, 0
0.0103114, 1
0.0103123, 0
0.0103154, 1
0.0103163, 0
0.0103194, 1
0.0103203, 0
0.0103234, 1
0.0103243, 0
0.0103274, 1
0.0103282, 0
0.0103314, 1
0.0103322, 0
0.0103353, 1
0.0103362, 0
0.0103393, 1
0.0103402, 0
0.0103433, 1
0.0103442, 0
0.0103473, 1
0.0103482, 0
0.0103513, 1
0.0103522, 0
0.0103553, 1
0.0103561, 0
0.0103593, 1
0.0103601, 0
0.0103633, 1
0.0103641, 0
0.0103672, 1
0.0103681, 0
0.0103712, 1
0.0103721, 0
0.0103752, 1
0.0103761, 0
0.0103792, 1
0.0103801, 0
0.0103832, 1
0.0103841, 0
0.0103872, 1
0.0103880, 0
0.0103912, 1
0.0103920, 0
0.0103952, 1
0.0103960, 0
0.0103991, 1
0.0104000, 0
0.0104011, 1
0.0104040, 0
0.0104071, 1
0.0104080, 0
0.0104091, 1
0.0104120, 0
0.0104151, 1
0.0104160, 0
0.0104181, 1
0.0110876, 0
0.0110913, 1
0.0110925, 0
0.0110938, 1
0.0110975, 0
0.0111012, 1
0.0111024, 0
0.0111062, 1
0.0111073, 0
0.0111111, 1
0.0111123, 0
0.0111160, 1
0.0111172, 0
0.0111210, 1
0.0111222, 0
0.0111259, 1
0.0111271, 0
0.0111309, 1
0.0111320, 0
0.0111358, 1
0.0111370, 0
0.0111407, 1
0.0111419, 0
0.0111457, 1
0.0111468, 0
0.0111506, 1
0.0111518, 0
0.0111555, 1
0.0111567, 0
0.0111580, 1
0.0111617, 0
0.0111629, 1
0.0111666, 0
0.0111704, 1
0.0111715, 0
0.0111753, 1
0.0111765, 0
0.0111802, 1
0.0111814, 0
0.0111852, 1
0.0111864, 0
0.0111901, 1
0.0111913, 0
0.0111951, 1
0.0111962, 0
0.0112000, 1
0.0112012, 0
0.0112049, 1
0.0112061, 0
0.0112074, 1
0.0112099, 0
0.0112131, 1
0.0112139, 0
0.0112170, 1
0.0112179, 0
0.0112210, 1
0.0112219, 0
0.0112250, 1
0.0112259, 0
0.0112290, 1
0.0112299, 0
0.0112310, 1
0.0112339, 0
0.0112370, 1
0.0112378, 0
0.0112389, 1
0.0112418, 0
0.0112450, 1
0.0112458, 0
0.0112489, 1
0.0112498, 0
0.0112529, 1
0.0112538, 0
0.0112569, 1
0.0112578, 0
0.0112609, 1
0.0112618, 0
0.0112649, 1
0.0112658, 0
0.0112689, 1
0.0112697, 0
0.0112729, 1
0.0112737, 0
0.0112769, 1
0.0112777, 0
0.0112808, 1
0.0112817, 0
0.0112848, 1
0.0112857, 0
0.0112888, 1
0.0112897, 0
0.0112928, 1
0.0112937, 0
0.0112968, 1
0.0112976, 0
0.0113008, 1
0.0113016, 0
0.0113048, 1
0.0113056, 0
0.0113087, 1
0.0113096, 0
0.0113127, 1
0.0113136, 0
0.0113167, 1
0.0113176, 0
0.0113207, 1
0.0113216, 0
0.0113247, 1
0.0113256, 0
0.0113287, 1
0.0113295, 0
0.0113327, 1
0.0113335, 0
0.0113367, 1
0.0113375, 0
0.0113406, 1
0.0113415, 0
0.0113446, 1
0.0113455, 0
0.0113486, 1
0.0113495, 0
0.0113526, 1
0.0113535, 0
0.0113566, 1
0.0113575, 0
0.0113606, 1
0.0113614, 0
0.0113646, 1
0.0113654, 0
0.0113686, 1
0.0113694, 0
0.0113725, 1
0.0113734, 0
0.0113765, 1
0.0113774, 0
0.0113805, 1
0.0113814, 0
0.0113845, 1
0.0113854, 0
0.0113885, 1
0.0113894, 0
0.0113925, 1
0.0113933, 0
0.0113965, 1
0.0113973, 0
0.0114005, 1
0.0114013, 0
0.0114044, 1
0.0114053, 0
0.0114084, 1
0.0114093, 0
0.0114124, 1
0.0114133, 0
0.0114164, 1
0.0114173, 0
0.0114204, 1
0.0114213, 0
0.0114244, 1
0.0114252, 0
0.0114284, 1
0.0114292, 0
