Time[s], Channel 0
0.0000000, 1
0.0020103, 0
0.0020141, 1
0.0020153, 0
0.0020165, 1
0.0020202, 0
0.0020240, 1
0.0020251, 0
0.0020289, 1
0.0020301, 0
0.0020338, 1
0.0020350, 0
0.0020388, 1
0.0020399, 0
0.0020437, 1
0.0020449, 0
0.0020486, 1
0.0020498, 0
0.0020536, 1
0.0020548, 0
0.0020585, 1
0.0020597, 0
0.0020635, 1
0.0020646, 0
0.0020684, 1
0.0020696, 0
0.0020733, 1
0.0020745, 0
0.0020783, 1
0.0020795, 0
0.0020807, 1
0.0020844, 0
0.0020857, 1
0.0020893, 0
0.0020931, 1
0.0020943, 0
0.0020980, 1
0.0020992, 0
0.0021030, 1
0.0021042, 0
0.0021079, 1
0.0021091, 0
0.0021129, 1
0.0021140, 0
0.0021178, 1
0.0021190, 0
0.0021227, 1
0.0021239, 0
0.0021277, 1
0.0021288, 0
0.0021301, 1
0.0021327, 0
0.0021359, 1
0.0021367, 0
0.0021399, 1
0.0021407, 0
0.0021438, 1
0.0021447, 0
0.0021458, 1
0.0021487, 0
0.0021518, 1
0.0021527, 0
0.0021558, 1
0.0021567, 0
0.0021598, 1
0.0021607, 0
0.0021638, 1
0.0021646, 0
0.0021678, 1
0.0021686, 0
0.0021717, 1
0.0021726, 0
0.0021757, 1
0.0021766, 0
0.0021797, 1
0.0021806, 0
0.0021837, 1
0.0021846, 0
0.0021877, 1
0.0021886, 0
0.0021917, 1
0.0021926, 0
0.0021957, 1
0.0021965, 0
0.0021997, 1
0.0022005, 0
0.0022037, 1
0.0022045, 0
0.0022076, 1
0.0022085, 0
0.0022116, 1
0.0022125, 0
0.0022156, 1
0.0022165, 0
0.0022196, 1
0.0022205, 0
0.0022236, 1
0.0022244, 0
0.0022276, 1
0.0022284, 0
0.0022316, 1
0.0022324, 0
0.0022355, 1
0.0022364, 0
0.0022395, 1
0.0022404, 0
0.0022435, 1
0.0022444, 0
0.0022475, 1
0.0022484, 0
0.0022515, 1
0.0022524, 0
0.0022555, 1
0.0022563, 0
0.0022595, 1
0.0022603, 0
0.0022635, 1
0.0022643, 0
0.0022674, 1
0.0022683, 0
0.0022714, 1
0.0022723, 0
0.0022754, 1
0.0022763, 0
0.0022794, 1
0.0022803, 0
0.0022834, 1
0.0022843, 0
0.0022874, 1
0.0022882, 0
0.0022914, 1
0.0022922, 0
0.0022954, 1
0.0022962, 0
0.0022993, 1
0.0023002, 0
0.0023033, 1
0.0023042, 0
0.0023073, 1
0.0023082, 0
0.0023113, 1
0.0023122, 0
0.0023153, 1
0.0023162, 0
0.0023193, 1
0.0023201, 0
0.0023233, 1
0.0023241, 0
0.0023273, 1
0.0023281, 0
0.0023312, 1
0.0023321, 0
0.0023352, 1
0.0023361, 0
0.0023392, 1
0.0023401, 0
0.0023432, 1
0.0023441, 0
0.0023472, 1
0.0023481, 0
0.0023512, 1
0.0023520, 0
0.0023552, 1
0.0023560, 0
0.0023592, 1
0.0023600, 0
0.0023631, 1
0.0023640, 0
0.0023671, 1
0.0023680, 0
0.0023711, 1
0.0023720, 0
0.0023731, 1
0.0023760, 0
0.0023791, 1
0.0023800, 0
0.0023810, 1
0.0023839, 0
0.0023850, 1
0.0023879, 0
0.0023900, 1
0.0030592, 0
0.0030629, 1
0.0030641, 0
0.0030654, 1
0.0030691, 0
0.0030728, 1
0.0030740, 0
0.0030778, 1
0.0030789, 0
0.0030827, 1
0.0030839, 0
0.0030876, 1
0.0030888, 0
0.0030926, 1
0.0030938, 0
0.0030975, 1
0.0030987, 0
