Time[s], Channel 0
0.0000000, 1
0.0085686, 0
0.0085724, 1
0.0085735, 0
0.0085748, 1
0.0085785, 0
0.0085822, 1
0.0085834, 0
0.0085872, 1
0.0085884, 0
0.0085921, 1
0.0085933, 0
0.0085971, 1
0.0085982, 0
0.0086020, 1
0.0086032, 0
0.0086069, 1
0.0086081, 0
0.0086119, 1
0.0086130, 0
0.0086168, 1
0.0086180, 0
0.0086217, 1
0.0086229, 0
0.0086267, 1
0.0086279, 0
0.0086316, 1
0.0086328, 0
0.0086366, 1
0.0086377, 0
0.0086390, 1
0.0086427, 0
0.0086440, 1
0.0086476, 0
0.0086514, 1
0.0086526, 0
0.0086563, 1
0.0086575, 0
0.0086613, 1
0.0086624, 0
0.0086662, 1
0.0086674, 0
0.0086711, 1
0.0086723, 0
0.0086761, 1
0.0086773, 0
0.0086810, 1
0.0086822, 0
0.0086860, 1
0.0086871, 0
0.0086884, 1
0.0086909, 0
0.0086940, 1
0.0086949, 0
0.0086980, 1
0.0086989, 0
0.0087020, 1
0.0087029, 0
0.0087060, 1
0.0087069, 0
0.0087080, 1
0.0087109, 0
0.0087140, 1
0.0087148, 0
0.0087180, 1
0.0087188, 0
0.0087219, 1
0.0087228, 0
0.0087259, 1
0.0087268, 0
0.0087299, 1
0.0087308, 0
0.0087339, 1
0.0087348, 0
0.0087379, 1
0.0087388, 0
0.0087419, 1
0.0087427, 0
0.0087459, 1
0.0087467, 0
0.0087499, 1
0.0087507, 0
0.0087538, 1
0.0087547, 0
0.0087578, 1
0.0087587, 0
0.0087618, 1
0.0087627, 0
0.0087658, 1
0.0087667, 0
0.0087698, 1
0.0087707, 0
0.0087738, 1
0.0087746, 0
0.0087778, 1
0.0087786, 0
0.0087818, 1
0.0087826, 0
0.0087857, 1
0.0087866, 0
0.0087897, 1
0.0087906, 0
0.0087937, 1
0.0087946, 0
0.0087977, 1
0.0087986, 0
0.0088017, 1
0.0088026, 0
0.0088057, 1
0.0088065, 0
0.0088097, 1
0.0088105, 0
0.0088137, 1
0.0088145, 0
0.0088176, 1
0.0088185, 0
0.0088216, 1
0.0088225, 0
0.0088256, 1
0.0088265, 0
0.0088296, 1
0.0088305, 0
0.0088336, 1
0.0088345, 0
0.0088376, 1
0.0088384, 0
0.0088416, 1
0.0088424, 0
0.0088456, 1
0.0088464, 0
0.0088495, 1
0.0088504, 0
0.0088535, 1
0.0088544, 0
0.0088575, 1
0.0088584, 0
0.0088615, 1
0.0088624, 0
0.0088655, 1
0.0088664, 0
0.0088695, 1
0.0088703, 0
0.0088735, 1
0.0088743, 0
0.0088775, 1
0.0088783, 0
0.0088814, 1
0.0088823, 0
0.0088854, 1
0.0088863, 0
0.0088894, 1
0.0088903, 0
0.0088934, 1
0.0088943, 0
0.0088974, 1
0.0088983, 0
0.0089014, 1
0.0089022, 0
0.0089054, 1
0.0089062, 0
0.0089094, 1
0.0089102, 0
0.0089133, 1
0.0089142, 0
0.0089173, 1
0.0089182, 0
0.0089213, 1
0.0089222, 0
0.0089253, 1
0.0089262, 0
0.0089293, 1
0.0089301, 0
0.0089312, 1
0.0089341, 0
0.0089373, 1
0.0089381, 0
0.0089412, 1
0.0089421, 0
0.0089432, 1
0.0089461, 0
0.0089482, 1
0.0096175, 0
0.0096212, 1
0.0096224, 0
0.0096237, 1
0.0096273, 0
0.0096311, 1
0.0096323, 0
0.0096360, 1
0.0096372, 0
0.0096410, 1
0.0096422, 0
0.0096459, 1
0.0096471, 0
0.0096509, 1
0.0096520, 0
0.0096558, 1
0.0096570, 0
0.0096607, 1
0.0096619, 0
0.0096657, 1
0.0096669, 0
0.0096706, 1
0.0096718, 0
0.0096756, 1
0.0096767, 0
0.0096805, 1
0.0096817, 0
0.0096854, 1
0.0096866, 0
0.0096879, 1
0.0096916, 0
0.0096928, 1
0.0096965, 0
0.0097002, 1
0.0097014, 0
0.0097052, 1
0.0097064, 0
0.0097101, 1
0.0097113, 0
0.0097151, 1
0.0097162, 0
0.0097200, 1
0.0097212, 0
0.0097249, 1
0.0097261, 0
0.0097299, 1
0.0097311, 0
0.0097348, 1
0.0097360, 0
0.0097373, 1
0.0097396, 0
0.0097427, 1
0.0097436, 0
0.0097467, 1
0.0097475, 0
0.0097507, 1
0.0097515, 0
0.0097547, 1
0.0097555, 0
0.0097566, 1
0.0097595, 0
0.0097626, 1
0.0097635, 0
0.0097666, 1
0.0097675, 0
0.0097706, 1
0.0097715, 0
0.0097746, 1
0.0097755, 0
0.0097786, 1
0.0097794, 0
0.0097826, 1
0.0097834, 0
0.0097866, 1
0.0097874, 0
0.0097905, 1
0.0097914, 0
0.0097945, 1
0.0097954, 0
0.0097985, 1
0.0097994, 0
0.0098025, 1
0.0098034, 0
0.0098065, 1
0.0098074, 0
0.0098105, 1
0.0098113, 0
0.0098145, 1
0.0098153, 0
0.0098185, 1
0.0098193, 0
0.0098224, 1
0.0098233, 0
0.0098264, 1
0.0098273, 0
0.0098304, 1
0.0098313, 0
0.0098344, 1
0.0098353, 0
0.0098384, 1
0.0098393, 0
0.0098424, 1
0.0098432, 0
0.0098464, 1
0.0098472, 0
0.0098503, 1
0.0098512, 0
0.0098543, 1
0.0098552, 0
0.0098583, 1
0.0098592, 0
0.0098623, 1
0.0098632, 0
0.0098663, 1
0.0098672, 0
0.0098703, 1
0.0098711, 0
0.0098743, 1
0.0098751, 0
0.0098783, 1
0.0098791, 0
0.0098822, 1
0.0098831, 0
0.0098862, 1
0.0098871, 0
0.0098902, 1
0.0098911, 0
0.0098942, 1
0.0098951, 0
0.0098982, 1
0.0098991, 0
0.0099022, 1
0.0099030, 0
0.0099062, 1
0.0099070, 0
0.0099102, 1
0.0099110, 0
0.0099141, 1
0.0099150, 0
0.0099181, 1
0.0099190, 0
0.0099221, 1
0.0099230, 0
0.0099261, 1
0.0099270, 0
0.0099301, 1
0.0099310, 0
0.0099341, 1
0.0099349, 0
0.0099381, 1
0.0099389, 0
0.0099421, 1
0.0099429, 0
0.0099460, 1
0.0099469, 0
0.0099500, 1
0.0099509, 0
0.0099540, 1
0.0099549, 0
0.0099580, 1
0.0099589, 0
0.0099620, 1
0.0099629, 0
0.0099660, 1
0.0099668, 0
0.0099700, 1
0.0099708, 0
0.0099740, 1
0.0099748, 0
0.0099779, 1
0.0099788, 0
0.0099799, 1
0.0099828, 0
0.0099859, 1
0.0099868, 0
0.0099879, 1
0.0099908, 0
0.0099939, 1
0.0099948, 0
0.0099969, 1
0.0252215, 0
0.0252252, 1
0.0252264, 0
0.0252277, 1
0.0252314, 0
0.0252351, 1
0.0252363, 0
0.0252401, 1
0.0252412, 0
0.0252450, 1
0.0252462, 0
0.0252499, 1
0.0252511, 0
0.0252549, 1
0.0252560, 0
0.0252598, 1
0.0252610, 0
0.0252647, 1
0.0252659, 0
0.0252697, 1
0.0252709, 0
0.0252746, 1
0.0252758, 0
0.0252796, 1
0.0252807, 0
0.0252845, 1
0.0252857, 0
0.0252894, 1
0.0252906, 0
0.0252919, 1
0.0252956, 0
0.0252968, 1
0.0253005, 0
0.0253043, 1
0.0253054, 0
0.0253092, 1
0.0253104, 0
0.0253141, 1
0.0253153, 0
0.0253191, 1
0.0253203, 0
0.0253240, 1
0.0253252, 0
0.0253290, 1
0.0253301, 0
0.0253339, 1
0.0253351, 0
0.0253388, 1
0.0253400, 0
0.0253413, 1
0.0253438, 0
0.0253469, 1
0.0253478, 0
0.0253509, 1
0.0253518, 0
0.0253549, 1
0.0253558, 0
0.0253589, 1
0.0253598, 0
0.0253609, 1
0.0253637, 0
0.0253669, 1
0.0253677, 0
0.0253709, 1
0.0253717, 0
0.0253748, 1
0.0253757, 0
0.0253788, 1
0.0253797, 0
0.0253828, 1
0.0253837, 0
0.0253868, 1
0.0253877, 0
0.0253908, 1
0.0253917, 0
0.0253948, 1
0.0253956, 0
0.0253988, 1
0.0253996, 0
0.0254028, 1
0.0254036, 0
0.0254067, 1
0.0254076, 0
0.0254107, 1
0.0254116, 0
0.0254147, 1
0.0254156, 0
0.0254187, 1
0.0254196, 0
0.0254227, 1
0.0254236, 0
0.0254267, 1
0.0254275, 0
0.0254307, 1
0.0254315, 0
0.0254347, 1
0.0254355, 0
0.0254386, 1
0.0254395, 0
0.0254426, 1
0.0254435, 0
0.0254466, 1
0.0254475, 0
0.0254506, 1
0.0254515, 0
0.0254546, 1
0.0254555, 0
0.0254586, 1
0.0254594, 0
0.0254626, 1
0.0254634, 0
0.0254665, 1
0.0254674, 0
0.0254705, 1
0.0254714, 0
0.0254745, 1
0.0254754, 0
0.0254785, 1
0.0254794, 0
0.0254825, 1
0.0254834, 0
0.0254865, 1
0.0254873, 0
0.0254905, 1
0.0254913, 0
0.0254945, 1
0.0254953, 0
0.0254984, 1
0.0254993, 0
0.0255024, 1
0.0255033, 0
0.0255064, 1
0.0255073, 0
0.0255104, 1
0.0255113, 0
0.0255144, 1
0.0255153, 0
0.0255184, 1
0.0255192, 0
0.0255224, 1
0.0255232, 0
0.0255264, 1
0.0255272, 0
0.0255303, 1
0.0255312, 0
0.0255343, 1
0.0255352, 0
0.0255383, 1
0.0255392, 0
0.0255423, 1
0.0255432, 0
0.0255463, 1
0.0255472, 0
0.0255503, 1
0.0255511, 0
0.0255543, 1
0.0255551, 0
0.0255583, 1
0.0255591, 0
0.0255622, 1
0.0255631, 0
0.0255662, 1
0.0255671, 0
0.0255702, 1
0.0255711, 0
0.0255742, 1
0.0255751, 0
0.0255782, 1
0.0255791, 0
0.0255822, 1
0.0255830, 0
0.0255841, 1
0.0255870, 0
0.0255902, 1
0.0255910, 0
0.0255941, 1
0.0255950, 0
0.0255961, 1
0.0255990, 0
0.0256011, 1
0.0263025, 0
0.0263062, 1
0.0263074, 0
0.0263087, 1
0.0263123, 0
0.0263161, 1
0.0263173, 0
0.0263210, 1
0.0263222, 0
0.0263260, 1
0.0263271, 0
0.0263309, 1
0.0263321, 0
0.0263358, 1
0.0263370, 0
0.0263408, 1
0.0263420, 0
0.0263457, 1
0.0263469, 0
0.0263507, 1
0.0263518, 0
0.0263556, 1
0.0263568, 0
0.0263605, 1
0.0263617, 0
0.0263655, 1
0.0263667, 0
0.0263704, 1
0.0263716, 0
0.0263729, 1
0.0263765, 0
0.0263778, 1
0.0263815, 0
0.0263852, 1
0.0263864, 0
0.0263902, 1
0.0263913, 0
