Time[s], Channel 0
0.0000000, 1
0.0094236, 0
0.0094274, 1
0.0094286, 0
0.0094298, 1
0.0094335, 0
0.0094373, 1
0.0094385, 0
0.0094422, 1
0.0094434, 0
0.0094472, 1
0.0094483, 0
0.0094521, 1
0.0094533, 0
0.0094570, 1
0.0094582, 0
0.0094620, 1
0.0094631, 0
0.0094669, 1
0.0094681, 0
0.0094718, 1
0.0094730, 0
0.0094768, 1
0.0094780, 0
0.0094817, 1
0.0094829, 0
0.0094867, 1
0.0094878, 0
0.0094916, 1
0.0094928, 0
0.0094941, 1
0.0094977, 0
0.0094990, 1
0.0095027, 0
0.0095064, 1
0.0095076, 0
0.0095114, 1
0.0095125, 0
0.0095163, 1
0.0095175, 0
0.0095212, 1
0.0095224, 0
0.0095262, 1
0.0095274, 0
0.0095311, 1
0.0095323, 0
0.0095361, 1
0.0095372, 0
0.0095410, 1
0.0095422, 0
0.0095434, 1
0.0095456, 0
0.0095487, 1
0.0095496, 0
0.0095527, 1
0.0095536, 0
0.0095567, 1
0.0095576, 0
0.0095607, 1
0.0095616, 0
0.0095627, 1
0.0095655, 0
0.0095687, 1
0.0095695, 0
0.0095727, 1
0.0095735, 0
0.0095766, 1
0.0095775, 0
0.0095806, 1
0.0095815, 0
0.0095846, 1
0.0095855, 0
0.0095886, 1
0.0095895, 0
0.0095926, 1
0.0095935, 0
0.0095966, 1
0.0095974, 0
0.0096006, 1
0.0096014, 0
0.0096046, 1
0.0096054, 0
0.0096085, 1
0.0096094, 0
0.0096125, 1
0.0096134, 0
0.0096165, 1
0.0096174, 0
0.0096205, 1
0.0096214, 0
0.0096245, 1
0.0096254, 0
0.0096285, 1
0.0096293, 0
0.0096325, 1
0.0096333, 0
0.0096365, 1
0.0096373, 0
0.0096404, 1
0.0096413, 0
0.0096444, 1
0.0096453, 0
0.0096484, 1
0.0096493, 0
0.0096524, 1
0.0096533, 0
0.0096564, 1
0.0096573, 0
0.0096604, 1
0.0096612, 0
0.0096644, 1
0.0096652, 0
0.0096684, 1
0.0096692, 0
0.0096723, 1
0.0096732, 0
0.0096763, 1
0.0096772, 0
0.0096803, 1
0.0096812, 0
0.0096843, 1
0.0096852, 0
0.0096883, 1
0.0096891, 0
0.0096923, 1
0.0096931, 0
0.0096963, 1
0.0096971, 0
0.0097003, 1
0.0097011, 0
0.0097042, 1
0.0097051, 0
0.0097082, 1
0.0097091, 0
0.0097122, 1
0.0097131, 0
0.0097162, 1
0.0097171, 0
0.0097202, 1
0.0097210, 0
0.0097242, 1
0.0097250, 0
0.0097282, 1
0.0097290, 0
0.0097321, 1
0.0097330, 0
0.0097361, 1
0.0097370, 0
0.0097401, 1
0.0097410, 0
0.0097441, 1
0.0097450, 0
0.0097481, 1
0.0097490, 0
0.0097521, 1
0.0097529, 0
0.0097561, 1
0.0097569, 0
0.0097601, 1
0.0097609, 0
0.0097640, 1
0.0097649, 0
0.0097680, 1
0.0097689, 0
0.0097720, 1
0.0097729, 0
0.0097760, 1
0.0097769, 0
0.0097800, 1
0.0097809, 0
0.0097840, 1
0.0097848, 0
0.0097859, 1
0.0097888, 0
0.0097920, 1
0.0097928, 0
0.0097939, 1
