Time[s], Channel 0
0.0000000, 1
0.0139434, 0
0.0139471, 1
0.0139483, 0
0.0139496, 1
0.0139532, 0
0.0139570, 1
0.0139582, 0
0.0139619, 1
0.0139631, 0
0.0139669, 1
0.0139681, 0
0.0139718, 1
0.0139730, 0
0.0139768, 1
0.0139779, 0
0.0139817, 1
0.0139829, 0
0.0139866, 1
0.0139878, 0
0.0139916, 1
0.0139928, 0
0.0139965, 1
0.0139977, 0
0.0140015, 1
0.0140026, 0
0.0140064, 1
0.0140076, 0
0.0140113, 1
0.0140125, 0
0.0140138, 1
0.0140174, 0
0.0140187, 1
0.0140224, 0
0.0140261, 1
0.0140273, 0
0.0140311, 1
0.0140323, 0
0.0140360, 1
0.0140372, 0
0.0140410, 1
0.0140421, 0
0.0140459, 1
0.0140471, 0
0.0140508, 1
0.0140520, 0
0.0140558, 1
0.0140570, 0
0.0140607, 1
0.0140619, 0
0.0140632, 1
0.0140655, 0
0.0140686, 1
0.0140695, 0
0.0140726, 1
0.0140735, 0
0.0140766, 1
0.0140774, 0
0.0140806, 1
0.0140814, 0
0.0140846, 1
0.0140854, 0
0.0140865, 1
0.0140894, 0
0.0140925, 1
0.0140934, 0
0.0140965, 1
0.0140974, 0
0.0141005, 1
0.0141014, 0
0.0141045, 1
0.0141054, 0
0.0141085, 1
0.0141093, 0
0.0141125, 1
0.0141133, 0
0.0141165, 1
0.0141173, 0
0.0141204, 1
0.0141213, 0
0.0141244, 1
0.0141253, 0
0.0141284, 1
0.0141293, 0
0.0141324, 1
0.0141333, 0
0.0141364, 1
0.0141373, 0
0.0141404, 1
0.0141412, 0
0.0141444, 1
0.0141452, 0
0.0141484, 1
0.0141492, 0
0.0141523, 1
0.0141532, 0
0.0141563, 1
0.0141572, 0
0.0141603, 1
0.0141612, 0
0.0141643, 1
0.0141652, 0
0.0141683, 1
0.0141691, 0
0.0141723, 1
0.0141731, 0
0.0141763, 1
0.0141771, 0
0.0141802, 1
0.0141811, 0
0.0141842, 1
0.0141851, 0
0.0141882, 1
0.0141891, 0
0.0141922, 1
0.0141931, 0
0.0141962, 1
0.0141971, 0
0.0142002, 1
0.0142010, 0
0.0142042, 1
0.0142050, 0
0.0142082, 1
0.0142090, 0
0.0142121, 1
0.0142130, 0
0.0142161, 1
0.0142170, 0
0.0142201, 1
0.0142210, 0
0.0142241, 1
0.0142250, 0
0.0142281, 1
0.0142290, 0
0.0142321, 1
0.0142329, 0
0.0142361, 1
0.0142369, 0
0.0142401, 1
0.0142409, 0
0.0142440, 1
0.0142449, 0
0.0142480, 1
0.0142489, 0
0.0142520, 1
0.0142529, 0
0.0142560, 1
0.0142569, 0
0.0142600, 1
0.0142609, 0
0.0142640, 1
0.0142648, 0
0.0142680, 1
0.0142688, 0
0.0142720, 1
0.0142728, 0
0.0142759, 1
0.0142768, 0
0.0142799, 1
0.0142808, 0
0.0142839, 1
0.0142848, 0
0.0142879, 1
0.0142888, 0
0.0142919, 1
0.0142928, 0
0.0142959, 1
0.0142967, 0
0.0142999, 1
0.0143007, 0
0.0143039, 1
0.0143047, 0
0.0143058, 1
0.0143087, 0
0.0143118, 1
0.0143127, 0
0.0143158, 1
0.0143167, 0
0.0143178, 1
0.0143207, 0
0.0143228, 1
0.0149922, 0
0.0149960, 1
0.0149972, 0
0.0149985, 1
0.0150021, 0
0.0150059, 1
0.0150071, 0
0.0150108, 1
0.0150120, 0
0.0150158, 1
0.0150169, 0
0.0150207, 1
0.0150219, 0
0.0150256, 1
0.0150268, 0
0.0150306, 1
0.0150317, 0
0.0150355, 1
0.0150367, 0
0.0150404, 1
0.0150416, 0
0.0150454, 1
0.0150466, 0
0.0150503, 1
0.0150515, 0
0.0150553, 1
0.0150564, 0
0.0150602, 1
0.0150614, 0
0.0150627, 1
0.0150663, 0
0.0150676, 1
0.0150713, 0
0.0150750, 1
0.0150762, 0
0.0150800, 1
0.0150811, 0
0.0150849, 1
0.0150861, 0
0.0150898, 1
0.0150910, 0
0.0150948, 1
0.0150959, 0
0.0150997, 1
0.0151009, 0
0.0151046, 1
0.0151058, 0
0.0151096, 1
0.0151108, 0
0.0151120, 1
0.0151146, 0
0.0151178, 1
0.0151186, 0
0.0151217, 1
0.0151226, 0
0.0151257, 1
0.0151266, 0
0.0151297, 1
0.0151306, 0
0.0151337, 1
0.0151346, 0
0.0151357, 1
0.0151386, 0
0.0151417, 1
0.0151425, 0
0.0151457, 1
0.0151465, 0
0.0151497, 1
0.0151505, 0
0.0151536, 1
0.0151545, 0
0.0151576, 1
0.0151585, 0
0.0151616, 1
0.0151625, 0
0.0151656, 1
0.0151665, 0
0.0151696, 1
0.0151705, 0
0.0151736, 1
0.0151744, 0
0.0151776, 1
0.0151784, 0
0.0151816, 1
0.0151824, 0
0.0151855, 1
0.0151864, 0
0.0151895, 1
0.0151904, 0
0.0151935, 1
0.0151944, 0
0.0151975, 1
0.0151984, 0
0.0152015, 1
0.0152024, 0
0.0152055, 1
0.0152063, 0
0.0152095, 1
0.0152103, 0
0.0152135, 1
0.0152143, 0
0.0152174, 1
0.0152183, 0
0.0152214, 1
0.0152223, 0
0.0152254, 1
0.0152263, 0
0.0152294, 1
0.0152303, 0
0.0152334, 1
0.0152343, 0
0.0152374, 1
0.0152382, 0
0.0152414, 1
0.0152422, 0
0.0152454, 1
0.0152462, 0
0.0152493, 1
0.0152502, 0
0.0152533, 1
0.0152542, 0
0.0152573, 1
0.0152582, 0
0.0152613, 1
0.0152622, 0
0.0152653, 1
0.0152662, 0
0.0152693, 1
0.0152701, 0
0.0152733, 1
0.0152741, 0
0.0152773, 1
0.0152781, 0
0.0152812, 1
0.0152821, 0
0.0152852, 1
0.0152861, 0
0.0152892, 1
0.0152901, 0
0.0152932, 1
0.0152941, 0
0.0152972, 1
0.0152981, 0
0.0153012, 1
0.0153020, 0
0.0153052, 1
0.0153060, 0
0.0153092, 1
0.0153100, 0
0.0153131, 1
0.0153140, 0
0.0153171, 1
0.0153180, 0
0.0153211, 1
0.0153220, 0
0.0153251, 1
0.0153260, 0
0.0153291, 1
0.0153299, 0
0.0153331, 1
0.0153339, 0
0.0153371, 1
0.0153379, 0
0.0153411, 1
0.0153419, 0
0.0153450, 1
0.0153459, 0
0.0153490, 1
0.0153499, 0
0.0153530, 1
0.0153539, 0
0.0153550, 1
0.0153579, 0
0.0153610, 1
0.0153618, 0
0.0153629, 1
0.0153658, 0
0.0153690, 1
0.0153698, 0
0.0153719, 1
0.0305963, 0
0.0306000, 1
0.0306012, 0
0.0306025, 1
0.0306061, 0
0.0306099, 1
0.0306111, 0
0.0306148, 1
0.0306160, 0
0.0306198, 1
0.0306209, 0
0.0306247, 1
0.0306259, 0
0.0306296, 1
0.0306308, 0
0.0306346, 1
0.0306358, 0
0.0306395, 1
0.0306407, 0
0.0306445, 1
0.0306456, 0
0.0306494, 1
0.0306506, 0
0.0306543, 1
0.0306555, 0
0.0306593, 1
0.0306604, 0
0.0306642, 1
0.0306654, 0
0.0306667, 1
0.0306703, 0
0.0306716, 1
0.0306753, 0
0.0306790, 1
0.0306802, 0
0.0306840, 1
0.0306851, 0
0.0306889, 1
0.0306901, 0
0.0306938, 1
0.0306950, 0
0.0306988, 1
0.0307000, 0
0.0307037, 1
0.0307049, 0
0.0307087, 1
0.0307098, 0
0.0307136, 1
0.0307148, 0
0.0307161, 1
0.0307184, 0
0.0307215, 1
0.0307224, 0
0.0307255, 1
0.0307264, 0
0.0307295, 1
0.0307303, 0
0.0307335, 1
0.0307343, 0
0.0307375, 1
0.0307383, 0
0.0307394, 1
0.0307423, 0
0.0307454, 1
0.0307463, 0
0.0307494, 1
0.0307503, 0
0.0307534, 1
0.0307543, 0
0.0307574, 1
0.0307583, 0
0.0307614, 1
0.0307622, 0
0.0307654, 1
0.0307662, 0
0.0307693, 1
0.0307702, 0
0.0307733, 1
0.0307742, 0
0.0307773, 1
0.0307782, 0
0.0307813, 1
0.0307822, 0
0.0307853, 1
0.0307862, 0
0.0307893, 1
0.0307901, 0
0.0307933, 1
0.0307941, 0
0.0307973, 1
0.0307981, 0
0.0308012, 1
0.0308021, 0
0.0308052, 1
0.0308061, 0
0.0308092, 1
0.0308101, 0
0.0308132, 1
0.0308141, 0
0.0308172, 1
0.0308181, 0
0.0308212, 1
0.0308220, 0
0.0308252, 1
0.0308260, 0
0.0308292, 1
0.0308300, 0
0.0308331, 1
0.0308340, 0
0.0308371, 1
0.0308380, 0
0.0308411, 1
0.0308420, 0
0.0308451, 1
0.0308460, 0
0.0308491, 1
0.0308500, 0
0.0308531, 1
0.0308539, 0
0.0308571, 1
0.0308579, 0
0.0308611, 1
0.0308619, 0
0.0308650, 1
0.0308659, 0
0.0308690, 1
0.0308699, 0
0.0308730, 1
0.0308739, 0
0.0308770, 1
0.0308779, 0
0.0308810, 1
0.0308819, 0
0.0308850, 1
0.0308858, 0
0.0308890, 1
0.0308898, 0
0.0308930, 1
0.0308938, 0
0.0308969, 1
0.0308978, 0
0.0309009, 1
0.0309018, 0
