Time[s], Channel 0
0.0000000, 1
0.0084950, 0
0.0084988, 1
0.0084999, 0
0.0085012, 1
0.0085049, 0
0.0085086, 1
0.0085098, 0
0.0085136, 1
0.0085148, 0
0.0085185, 1
0.0085197, 0
0.0085235, 1
0.0085246, 0
0.0085284, 1
0.0085296, 0
0.0085333, 1
0.0085345, 0
0.0085383, 1
0.0085395, 0
0.0085432, 1
0.0085444, 0
0.0085482, 1
0.0085493, 0
0.0085531, 1
0.0085543, 0
0.0085580, 1
0.0085592, 0
0.0085630, 1
0.0085642, 0
0.0085654, 1
0.0085691, 0
0.0085704, 1
0.0085740, 0
0.0085778, 1
0.0085790, 0
0.0085827, 1
0.0085839, 0
0.0085877, 1
0.0085888, 0
0.0085926, 1
0.0085938, 0
0.0085975, 1
0.0085987, 0
0.0086025, 1
0.0086037, 0
0.0086074, 1
0.0086086, 0
0.0086124, 1
0.0086135, 0
0.0086148, 1
0.0086174, 0
0.0086205, 1
0.0086214, 0
0.0086245, 1
0.0086254, 0
0.0086285, 1
0.0086294, 0
0.0086325, 1
0.0086333, 0
0.0086365, 1
0.0086373, 0
0.0086384, 1
0.0086413, 0
0.0086445, 1
0.0086453, 0
0.0086484, 1
0.0086493, 0
0.0086524, 1
0.0086533, 0
0.0086564, 1
0.0086573, 0
0.0086604, 1
0.0086613, 0
0.0086644, 1
0.0086652, 0
0.0086684, 1
0.0086692, 0
0.0086724, 1
0.0086732, 0
0.0086763, 1
0.0086772, 0
0.0086803, 1
0.0086812, 0
0.0086843, 1
0.0086852, 0
0.0086883, 1
0.0086892, 0
0.0086923, 1
0.0086932, 0
0.0086963, 1
0.0086971, 0
0.0087003, 1
0.0087011, 0
0.0087043, 1
0.0087051, 0
0.0087082, 1
0.0087091, 0
0.0087122, 1
0.0087131, 0
0.0087162, 1
0.0087171, 0
0.0087202, 1
0.0087211, 0
0.0087242, 1
0.0087251, 0
0.0087282, 1
0.0087290, 0
0.0087322, 1
0.0087330, 0
0.0087362, 1
0.0087370, 0
0.0087401, 1
0.0087410, 0
0.0087441, 1
0.0087450, 0
0.0087481, 1
0.0087490, 0
0.0087521, 1
0.0087530, 0
0.0087561, 1
0.0087570, 0
0.0087601, 1
0.0087609, 0
0.0087641, 1
0.0087649, 0
