Time[s], Channel 0, Channel 1
0.00000000, 0, 1
0.00000216, 1, 1
0.00000720, 0, 1
0.00001224, 1, 1
0.00001728, 0, 1
0.00002232, 1, 1
0.00002736, 0, 1
0.00003240, 1, 1
0.00003744, 0, 1
0.00004248, 1, 1
0.00004752, 0, 1
0.00005256, 1, 1
0.00005760, 0, 1
0.00006264, 1, 1
0.00006768, 0, 1
0.00007020, 0, 0
0.00007272, 1, 0
0.00007776, 0, 0
0.00007800, 0, 1
0.00008280, 1, 1
0.00008784, 0, 1
0.00009288, 1, 1
0.00009792, 0, 1
0.00010296, 1, 1
0.00010800, 0, 1
0.00011304, 1, 1
0.00011808, 0, 1
0.00012312, 1, 1
0.00012816, 0, 1
0.00013320, 1, 1
0.00013824, 0, 1
0.00014328, 1, 1
0.00014832, 0, 1
0.00015336, 1, 1
0.00015840, 0, 1
0.00016092, 0, 0
0.00016344, 1, 0
0.00016848, 0, 0
0.00016872, 0, 1
0.00017352, 1, 1
0.00017856, 0, 1
0.00018360, 1, 1
0.00018864, 0, 1
0.00019368, 1, 1
0.00019872, 0, 1
0.00020376, 1, 1
0.00020880, 0, 1
0.00021384, 1, 1
0.00021888, 0, 1
0.00022392, 1, 1
0.00022896, 0, 1
0.00023400, 1, 1
0.00023904, 0, 1
0.00024408, 1, 1
0.00024912, 0, 1
0.00025418, 1, 1
0.00025920, 0, 1
0.00026172, 0, 0
0.00026424, 1, 0
0.00026676, 1, 1
0.00026928, 0, 1
0.01177838, 1, 1
0.01178088, 1, 0
0.01178340, 0, 0
0.01178594, 0, 1
0.01178846, 1, 1
0.01179348, 0, 1
0.01179600, 0, 0
0.01179854, 1, 0
0.01180356, 0, 0
0.01180610, 0, 1
0.01180862, 1, 1
0.01181364, 0, 1
0.01181616, 0, 0
0.01181870, 1, 0
0.01182372, 0, 0
0.01182878, 1, 0
0.01183380, 0, 0
0.01183634, 0, 1
0.01183886, 1, 1
0.01184390, 0, 1
0.01184640, 0, 0
0.01184894, 1, 0
0.01185398, 0, 0
0.01185902, 1, 0
0.01186406, 0, 0
0.01186910, 1, 0
0.01187414, 0, 0
0.01187918, 1, 0
0.01188422, 0, 0
0.01188926, 1, 0
0.01189430, 0, 0
0.01189934, 1, 0
0.01190438, 0, 0
0.01190942, 1, 0
0.01191446, 0, 0
0.01191950, 1, 0
0.01192454, 0, 0
0.01192958, 1, 0
0.01193462, 0, 0
0.01193966, 1, 0
0.01194470, 0, 0
0.01194974, 1, 0
0.01195478, 0, 0
0.01195982, 1, 0
0.01196486, 0, 0
0.01196546, 0, 1
0.01196738, 0, 0
0.01196990, 1, 0
0.01197242, 1, 1
0.01197494, 0, 1
0.01261502, 1, 1
0.01261754, 1, 0
0.01262006, 0, 0
0.01262258, 0, 1
0.01262510, 1, 1
0.01263014, 0, 1
0.01263266, 0, 0
0.01263518, 1, 0
0.01264022, 0, 0
0.01264274, 0, 1
0.01264526, 1, 1
0.01265030, 0, 1
0.01265282, 0, 0
0.01265534, 1, 0
0.01266038, 0, 0
0.01266542, 1, 0
0.01267046, 0, 0
0.01267298, 0, 1
0.01267552, 1, 1
0.01268054, 0, 1
0.01268306, 0, 0
